uid,SPORTS
5328,"club132"
5419,"club115"
5423,"club604"
5426,"club132"
5434,"club125"
5437,"club117"
5447,"club233"
5455,"club242"
5464,"club242"
5491,"club218"
5495,"club242"
5513,"club403"
5555,"club109"
5562,"club111"
5568,"club261"
5573,"club101"
5604,"club125"
5614,"club124"
5723,"club125"
5742,"club233"
5751,"club111"
5752,"club111"
5766,"club125"
5767,"club132"
5797,"club132"
5801,"club126"
5815,"club402"
5839,"club103"
5854,"club413"
5879,"club218"
5890,"club242"
5935,"club135"
5967,"club601"
5968,"club131"
5993,"club128"
6044,"club410"
6067,"club109"
6068,"club133"
6076,"club133"
6080,"club405"
6127,"club128"
6131,"club121"
6161,"club111"
6176,"club109"
6177,"club129"
6191,"club103"
6192,"club245"
6203,"club111"
6224,"club204"
6225,"club129"
6252,"club209"
6256,"club407"
6288,"club111"
6294,"club133"
6301,"club242"
6375,"club133"
6399,"club211"
6400,"club115"
6407,"club249"
6427,"club245"
6430,"club604"
6445,"club242"
6460,"club242"
6492,"club402"
6511,"club109"
6534,"club413"
6549,"club127"
6560,"club111"
6590,"club134"
6602,"club218"
6622,"club242"
6641,"club213"
6651,"club111"
6657,"club111"
6663,"club402"
6669,"club242"
6721,"club105"
6752,"club242"
6771,"club111"
6786,"club101"
6788,"club402"
6791,"club403"
6800,"club402"
6810,"club111"
6812,"club119"
6816,"club135"
6824,"club119"
6832,"club132"
6833,"club133"
6838,"club109"
6840,"club218"
6841,"club219"
6851,"club108"
6859,"club403"
6870,"club221"
6872,"club105"
6880,"club111"
6890,"club403"
6897,"club404"
6901,"club404"
6917,"club213"
6923,"club218"
6930,"club133"
6946,"club413"
6951,"club111"
6963,"club242"
6964,"club220"
6993,"club404"
7010,"club213"
7015,"club115"
7017,"club401"
7021,"club413"
7023,"club218"
7038,"club111"
7063,"club403"
7086,"club242"
7097,"club245"
7099,"club123"
7101,"club213"
7112,"club601"
7121,"club402"
7143,"club242"
7148,"club264"
7150,"club101"
7156,"club123"
7178,"club125"
7184,"club123"
7221,"club402"
7229,"club401"
7254,"club404"
7339,"club418"
7361,"club103"
7371,"club103"
7392,"club109"
7393,"club108"
7398,"club101"
7439,"club117"
7461,"club132"
7542,"club132"
7557,"club133"
7566,"club125"
7587,"club123"
7591,"club503"
7595,"club403"
7603,"club245"
7607,"club127"
7608,"club123"
7611,"club252"
7618,"club133"
7637,"club105"
7666,"club109"
7684,"club242"
7690,"club604"
7691,"club119"
7705,"club265"
7706,"club123"
7708,"club402"
7709,"club602"
7720,"club123"
7722,"club206"
7729,"club402"
7734,"club410"
7735,"club121"
7745,"club209"
7747,"club413"
7752,"club602"
7779,"club410"
7784,"club133"
7809,"club402"
7811,"club134"
7817,"club103"
7818,"club111"
7824,"club105"
7836,"club115"
7844,"club242"
7846,"club402"
7847,"club111"
7863,"club215"
7871,"club402"
7886,"club125"
7896,"club132"
7914,"club123"
7915,"club201"
7940,"club123"
7942,"club402"
7966,"club258"
7969,"club125"
7974,"club242"
7982,"club123"
7989,"club105"
7999,"club119"
8008,"club133"
8013,"club245"
8078,"club402"
8088,"club410"
8094,"club218"
8165,"club129"
8176,"club119"
8186,"club119"
8190,"club115"
8204,"club211"
8259,"club123"
8271,"club124"
8288,"club103"
8309,"club135"
8350,"club206"
8360,"club101"
8361,"club111"
8376,"club402"
8381,"club105"
8398,"club119"
8409,"club123"
8422,"club602"
8429,"club105"
8442,"club121"
8452,"club410"
8489,"club119"
8524,"club123"
8549,"club111"
8551,"club202"
8557,"club115"
8570,"club245"
8578,"club407"
8585,"club134"
8590,"club503"
8597,"club117"
8639,"club123"
8643,"club237"
8654,"club125"
8675,"club111"
8688,"club115"
8702,"club407"
8706,"club111"
8711,"club402"
8715,"club248"
8719,"club101"
8774,"club501"
8781,"club242"
8783,"club111"
8828,"club403"
8829,"club403"
8880,"club111"
8898,"club123"
8921,"club119"
8936,"club119"
8939,"club218"
8977,"club261"
9012,"club132"
9027,"club114"
9049,"club410"
9098,"club410"
9106,"club123"
9107,"club103"
9119,"club128"
9120,"club111"
9133,"club242"
9137,"club103"
9139,"club242"
9189,"club604"
9217,"club401"
9342,"club410"
9402,"club413"
9408,"club410"
9420,"club105"
9476,"club106"
9492,"club105"
9520,"club128"
9533,"club115"
9546,"club111"
9578,"club233"
9580,"club123"
9581,"club123"
9592,"club413"
9625,"club128"
9650,"club603"
9700,"club132"
9701,"club132"
9715,"club603"
9731,"club113"
9736,"club601"
9808,"club218"
9823,"club221"
9879,"club115"
9893,"club245"
9898,"club202"
9902,"club111"
9908,"club128"
9926,"club124"
9950,"club601"
9952,"club101"
9962,"club420"
10006,"club123"
10013,"club128"
10031,"club123"
10040,"club101"
10081,"club212"
10128,"club410"
10206,"club402"
10214,"club212"
10235,"club420"
10271,"club410"
10273,"club401"
10287,"club109"
10304,"club135"
10319,"club402"
10324,"club123"
10328,"club402"
10349,"club117"
10373,"club109"
10377,"club605"
10378,"club123"
10380,"club132"
10395,"club218"
10423,"club101"
10436,"club123"
10439,"club111"
10460,"club128"
10466,"club136"
10476,"club602"
10489,"club124"
10492,"club132"
10503,"club123"
10516,"club604"
10520,"club123"
10552,"club211"
10556,"club117"
10591,"club127"
10608,"club266"
10643,"club123"
10646,"club503"
10655,"club123"
10668,"club123"
10669,"club101"
10670,"club122"
10689,"club123"
10696,"club132"
10701,"club111"
10716,"club258"
10736,"club410"
10737,"club105"
10742,"club132"
10756,"club105"
10769,"club109"
10788,"club115"
10805,"club111"
10825,"club218"
10832,"club101"
10848,"club134"
10859,"club233"
10914,"club604"
10952,"club125"
10972,"club221"
10982,"club221"
10987,"club111"
11001,"club403"
11004,"club123"
11008,"club117"
11035,"club101"
11049,"club111"
11057,"club402"
11058,"club111"
11064,"club132"
11067,"club111"
11096,"club403"
11099,"club119"
11142,"club106"
11153,"club115"
11157,"club125"
11208,"club111"
11239,"club402"
11259,"club134"
11265,"club111"
11266,"club101"
11274,"club209"
11290,"club111"
11317,"club605"
11321,"club602"
11328,"club604"
11346,"club111"
11352,"club604"
11399,"club404"
11418,"club111"
11421,"club133"
11429,"club402"
11434,"club111"
11444,"club233"
11447,"club117"
11460,"club111"
11465,"club258"
11476,"club402"
11553,"club111"
11558,"club123"
11560,"club119"
11565,"club109"
11571,"club109"
11605,"club111"
11620,"club101"
11627,"club266"
11641,"club413"
11649,"club218"
11689,"club123"
11696,"club109"
11730,"club402"
11744,"club101"
11757,"club111"
11773,"club402"
11787,"club210"
11791,"club402"
11828,"club135"
11832,"club123"
11881,"club402"
11893,"club111"
11931,"club111"
11946,"club105"
11955,"club202"
11979,"club133"
11983,"club109"
11999,"club402"
12002,"club109"
12007,"club111"
12019,"club206"
12021,"club221"
12029,"club123"
12036,"club119"
12062,"club111"
12085,"club243"
12090,"club402"
12107,"club242"
12108,"club103"
12128,"club245"
12156,"club503"
12162,"club125"
12170,"club109"
12197,"club413"
12211,"club503"
12225,"club245"
12244,"club111"
12250,"club109"
12266,"club109"
12269,"club115"
12298,"club219"
12301,"club402"
12304,"club402"
12316,"club117"
12324,"club115"
12335,"club109"
12366,"club109"
12369,"club105"
12391,"club109"
12412,"club211"
12415,"club123"
12425,"club245"
12468,"club129"
12495,"club101"
12506,"club111"
12517,"club111"
12532,"club252"
12552,"club242"
12564,"club124"
12575,"club604"
12610,"club128"
12627,"club420"
12636,"club402"
12641,"club501"
12665,"club604"
12668,"club133"
12682,"club413"
12690,"club254"
12694,"club128"
12722,"club126"
12760,"club245"
12782,"club115"
12828,"club109"
12841,"club123"
12845,"club413"
12848,"club123"
12865,"club111"
12899,"club128"
12910,"club133"
12913,"club111"
12925,"club213"
12929,"club133"
12986,"club233"
12988,"club402"
13029,"club221"
13036,"club127"
13051,"club111"
13053,"club604"
13074,"club109"
13085,"club111"
13103,"club111"
13107,"club108"
13117,"club101"
13125,"club402"
13144,"club103"
13148,"club413"
13152,"club113"
13183,"club116"
13186,"club604"
13190,"club245"
13194,"club212"
13208,"club133"
13228,"club113"
13242,"club221"
13247,"club115"
13252,"club402"
13279,"club111"
13300,"club243"
13303,"club113"
13313,"club134"
13321,"club132"
13324,"club111"
13330,"club111"
13348,"club115"
13358,"club402"
13368,"club115"
13394,"club134"
13397,"club111"
13402,"club218"
13410,"club111"
13412,"club402"
13453,"club242"
13463,"club113"
13470,"club115"
13484,"club218"
13494,"club113"
13498,"club106"
13504,"club111"
13507,"club103"
13508,"club111"
13510,"club125"
13518,"club108"
13522,"club210"
13525,"club401"
13530,"club402"
13540,"club111"
13550,"club111"
13571,"club109"
13582,"club245"
13590,"club413"
13604,"club134"
13615,"club124"
13622,"club119"
13643,"club111"
13659,"club605"
13675,"club111"
13692,"club106"
13705,"club133"
13707,"club111"
13723,"club133"
13731,"club101"
13738,"club133"
13739,"club402"
13740,"club601"
13748,"club402"
13764,"club111"
13806,"club133"
13828,"club106"
13839,"club101"
13863,"club402"
13870,"club105"
13878,"club242"
13903,"club604"
13965,"club205"
13996,"club125"
14039,"club233"
14040,"club111"
14060,"club113"
14075,"club132"
14089,"club128"
14093,"club401"
14139,"club138"
14179,"club206"
14191,"club605"
14196,"club115"
14203,"club401"
14221,"club117"
14223,"club245"
14262,"club245"
14295,"club132"
14301,"club125"
14303,"club242"
14322,"club135"
14329,"club111"
14391,"club413"
14399,"club204"
14401,"club245"
14422,"club133"
14431,"club134"
14458,"club133"
14470,"club101"
14471,"club601"
14495,"club123"
14498,"club115"
14511,"club102"
14526,"club211"
14537,"club402"
14542,"club109"
14543,"club407"
14554,"club604"
14560,"club125"
14566,"club134"
14588,"club115"
14615,"club402"
14657,"club111"
14658,"club243"
14667,"club605"
14675,"club111"
14683,"club111"
14710,"club117"
14718,"club111"
14719,"club132"
14735,"club125"
14736,"club242"
14765,"club115"
14804,"club115"
14810,"club111"
14828,"club403"
14829,"club111"
14855,"club242"
14856,"club403"
14861,"club403"
14867,"club115"
14881,"club245"
14889,"club403"
14896,"club115"
14898,"club233"
14927,"club105"
14932,"club218"
14965,"club105"
14974,"club257"
14977,"club403"
14979,"club245"
14984,"club410"
15000,"club109"
15014,"club117"
15043,"club111"
15071,"club410"
15090,"club249"
15095,"club113"
15096,"club109"
15133,"club418"
15152,"club604"
15155,"club123"
15161,"club245"
15188,"club111"
15200,"club113"
15206,"club503"
15218,"club132"
15245,"club119"
15246,"club111"
15259,"club105"
15274,"club111"
15275,"club218"
15276,"club111"
15284,"club119"
15301,"club420"
15303,"club111"
15327,"club245"
15341,"club602"
15352,"club403"
15369,"club242"
15372,"club501"
15383,"club128"
15391,"club111"
15412,"club106"
15435,"club133"
15447,"club413"
15454,"club415"
15511,"club209"
15523,"club123"
15537,"club127"
15546,"club105"
15552,"club420"
15567,"club132"
15586,"club403"
15589,"club403"
15607,"club245"
15621,"club103"
15635,"club135"
15667,"club249"
15671,"club103"
15672,"club101"
15681,"club245"
15698,"club413"
15707,"club111"
15736,"club420"
15753,"club109"
15757,"club233"
15801,"club413"
15819,"club413"
15822,"club133"
15839,"club103"
15844,"club218"
15867,"club413"
15869,"club111"
15879,"club123"
15890,"club413"
15905,"club245"
15906,"club403"
15925,"club126"
15957,"club117"
15975,"club604"
16007,"club111"
16045,"club403"
16058,"club133"
16069,"club136"
16108,"club219"
16121,"club111"
16123,"club209"
16132,"club407"
16145,"club123"
16155,"club111"
16174,"club111"
16198,"club123"
16205,"club111"
16208,"club111"
16215,"club111"
16232,"club111"
16251,"club133"
16253,"club604"
16259,"club111"
16266,"club413"
16273,"club604"
16274,"club132"
16283,"club245"
16284,"club604"
16307,"club402"
16315,"club123"
16358,"club111"
16366,"club604"
16376,"club413"
16394,"club133"
16414,"club111"
16416,"club125"
16424,"club111"
16443,"club407"
16450,"club133"
16455,"club258"
16480,"club111"
16505,"club133"
16507,"club604"
16512,"club245"
16526,"club503"
16553,"club420"
16561,"club205"
16566,"club218"
16609,"club420"
16649,"club105"
16654,"club401"
16655,"club113"
16674,"club403"
16681,"club111"
16686,"club604"
16712,"club111"
16713,"club134"
16739,"club404"
16741,"club124"
16768,"club106"
16769,"club242"
16810,"club245"
16860,"club233"
16865,"club102"
16871,"club111"
16881,"club111"
16891,"club124"
16914,"club403"
16921,"club206"
16941,"club106"
16960,"club503"
16964,"club125"
16973,"club233"
16980,"club109"
16982,"club109"
16988,"club503"
17035,"club111"
17046,"club403"
17053,"club601"
17059,"club245"
17063,"club111"
17066,"club125"
17084,"club221"
17085,"club111"
17107,"club108"
17115,"club401"
17117,"club101"
17121,"club604"
17129,"club132"
17145,"club123"
17185,"club410"
17188,"club213"
17193,"club403"
17205,"club212"
17213,"club404"
17235,"club601"
17238,"club103"
17266,"club117"
17342,"club403"
17352,"club115"
17389,"club111"
17446,"club402"
17458,"club233"
17459,"club242"
17490,"club133"
17494,"club111"
17516,"club125"
17519,"club602"
17525,"club242"
17527,"club221"
17530,"club245"
17535,"club111"
17560,"club132"
17561,"club413"
17569,"club132"
17577,"club209"
17585,"club402"
17618,"club402"
17625,"club109"
17633,"club123"
17642,"club405"
17651,"club109"
17680,"club133"
17683,"club114"
17708,"club133"
17709,"club245"
17732,"club138"
17739,"club242"
17746,"club108"
17754,"club103"
17757,"club245"
17761,"club604"
17767,"club108"
17772,"club111"
17792,"club202"
17811,"club601"
17821,"club242"
17831,"club109"
17849,"club221"
17863,"club111"
17868,"club111"
17882,"club123"
17972,"club117"
18010,"club420"
18012,"club109"
18013,"club602"
18019,"club218"
18040,"club135"
18052,"club222"
18064,"club245"
18083,"club132"
18105,"club221"
18108,"club133"
18121,"club123"
18143,"club402"
18154,"club119"
18165,"club245"
18175,"club133"
18234,"club123"
18260,"club233"
18279,"club111"
18298,"club402"
18299,"club115"
18301,"club245"
18304,"club136"
18314,"club111"
18315,"club109"
18316,"club413"
18367,"club135"
18388,"club134"
18404,"club219"
18448,"club123"
18483,"club128"
18504,"club132"
18526,"club115"
18550,"club111"
18559,"club123"
18581,"club132"
18621,"club108"
18626,"club111"
18628,"club123"
18641,"club402"
18645,"club111"
18656,"club209"
18657,"club604"
18674,"club242"
18708,"club123"
18723,"club102"
18726,"club256"
18743,"club604"
18767,"club221"
18775,"club245"
18797,"club111"
18800,"club402"
18822,"club604"
18823,"club107"
18832,"club403"
18834,"club129"
18835,"club413"
18849,"club123"
18862,"club503"
18868,"club218"
18900,"club132"
18901,"club115"
18924,"club109"
18927,"club111"
18929,"club123"
18931,"club402"
18945,"club117"
18957,"club261"
19004,"club133"
19023,"club113"
19034,"club402"
19040,"club111"
19054,"club205"
19060,"club413"
19110,"club111"
19112,"club402"
19138,"club210"
19147,"club402"
19167,"club261"
19169,"club101"
19175,"club221"
19199,"club420"
19268,"club111"
19277,"club501"
19323,"club604"
19331,"club254"
19332,"club106"
19339,"club604"
19354,"club111"
19360,"club123"
19388,"club402"
19404,"club413"
19406,"club420"
19463,"club413"
19466,"club413"
19475,"club420"
19507,"club122"
19509,"club413"
19543,"club413"
19546,"club103"
19560,"club605"
19582,"club402"
19594,"club115"
19621,"club402"
19624,"club111"
19675,"club123"
19689,"club123"
19701,"club111"
19702,"club237"
19780,"club602"
19783,"club410"
19790,"club413"
19806,"club109"
19810,"club403"
19813,"club413"
19818,"club410"
19832,"club601"
19915,"club131"
19952,"club403"
19953,"club602"
19995,"club109"
20009,"club135"
20072,"club218"
20073,"club111"
20093,"club245"
20104,"club111"
20106,"club101"
20109,"club410"
20115,"club102"
20157,"club133"
20176,"club602"
20178,"club109"
20182,"club245"
20186,"club602"
20215,"club111"
20225,"club111"
20232,"club109"
20261,"club107"
20271,"club107"
20275,"club111"
20280,"club132"
20281,"club403"
20320,"club109"
20337,"club403"
20356,"club403"
20376,"club233"
20396,"club410"
20397,"club602"
20407,"club111"
20469,"club503"
20491,"club249"
20512,"club233"
20514,"club245"
20526,"club128"
20530,"club101"
20531,"club109"
20536,"club119"
20543,"club133"
20546,"club105"
20571,"club403"
20626,"club407"
20636,"club132"
20644,"club413"
20656,"club242"
20671,"club403"
20710,"club407"
20731,"club111"
20755,"club111"
20767,"club111"
20789,"club111"
20800,"club604"
20809,"club602"
20827,"club221"
20880,"club604"
20886,"club602"
20890,"club128"
20914,"club402"
20918,"club115"
20928,"club111"
20949,"club403"
20963,"club103"
20972,"club249"
20979,"club111"
20989,"club125"
21019,"club111"
21021,"club132"
21023,"club111"
21038,"club109"
21059,"club245"
21064,"club109"
21087,"club105"
21096,"club108"
21098,"club127"
21107,"club261"
21111,"club604"
21114,"club111"
21123,"club602"
21125,"club245"
21176,"club206"
21183,"club123"
21222,"club123"
21234,"club420"
21270,"club111"
21300,"club252"
21313,"club111"
21317,"club125"
21321,"club601"
21339,"club601"
21344,"club109"
21348,"club125"
21354,"club111"
21385,"club109"
21391,"club601"
21424,"club111"
21428,"club128"
21438,"club604"
21464,"club125"
21513,"club113"
21514,"club402"
21523,"club410"
21529,"club125"
21553,"club601"
21598,"club125"
21680,"club402"
21697,"club245"
21699,"club261"
21724,"club242"
21741,"club602"
21743,"club109"
21747,"club402"
21753,"club218"
21787,"club242"
21789,"club410"
21813,"club404"
21815,"club109"
21816,"club602"
21822,"club117"
21834,"club121"
21853,"club132"
21891,"club133"
21910,"club245"
21915,"club242"
21919,"club402"
21938,"club402"
21942,"club111"
21965,"club103"
21967,"club242"
21969,"club404"
22001,"club602"
22008,"club402"
22042,"club126"
22044,"club105"
22046,"club245"
22047,"club404"
22060,"club101"
22070,"club242"
22077,"club111"
22093,"club101"
22110,"club402"
22132,"club220"
22141,"club117"
22157,"club404"
22180,"club212"
22234,"club126"
22241,"club413"
22251,"club233"
22253,"club249"
22259,"club101"
22325,"club402"
22330,"club221"
22337,"club221"
22358,"club115"
22376,"club132"
22406,"club210"
22417,"club501"
22423,"club402"
22440,"club404"
22448,"club222"
22450,"club105"
22493,"club410"
22505,"club402"
22526,"club115"
22531,"club404"
22568,"club410"
22585,"club402"
22624,"club111"
22628,"club123"
22642,"club124"
22659,"club404"
22665,"club410"
22666,"club123"
22680,"club404"
22689,"club105"
22759,"club402"
22777,"club402"
22792,"club108"
22794,"club125"
22823,"club242"
22824,"club218"
22835,"club209"
22843,"club109"
22873,"club410"
22883,"club402"
22888,"club134"
22898,"club133"
22901,"club109"
22904,"club123"
22918,"club111"
22961,"club402"
22965,"club115"
22974,"club123"
22979,"club404"
22981,"club105"
23000,"club410"
23012,"club209"
23018,"club218"
23020,"club119"
23023,"club125"
23036,"club111"
23038,"club602"
23041,"club123"
23056,"club111"
23068,"club123"
23070,"club402"
23071,"club115"
23074,"club111"
23080,"club111"
23107,"club601"
23125,"club404"
23147,"club402"
23156,"club123"
23166,"club245"
23178,"club126"
23179,"club132"
23198,"club133"
23209,"club417"
23226,"club132"
23242,"club109"
23246,"club218"
23249,"club111"
23253,"club117"
23271,"club127"
23286,"club402"
23297,"club202"
23309,"club133"
23316,"club109"
23320,"club212"
23325,"club123"
23339,"club402"
23342,"club124"
23375,"club133"
23377,"club402"
23380,"club132"
23389,"club123"
23427,"club245"
23439,"club133"
23440,"club123"
23456,"club420"
23473,"club111"
23476,"club401"
23477,"club111"
23483,"club413"
23492,"club219"
23501,"club132"
23506,"club601"
23533,"club134"
23546,"club105"
23568,"club402"
23594,"club133"
23614,"club135"
23618,"club115"
23636,"club250"
23641,"club133"
23651,"club111"
23662,"club221"
23684,"club123"
23691,"club242"
23695,"club402"
23718,"club105"
23740,"club115"
23752,"club604"
23764,"club604"
23785,"club111"
23796,"club245"
23808,"club111"
23811,"club125"
23819,"club133"
23857,"club402"
23864,"club201"
23869,"club410"
23880,"club109"
23889,"club111"
23907,"club134"
23911,"club402"
23922,"club124"
23951,"club105"
23955,"club117"
23962,"club402"
24023,"club602"
24024,"club604"
24027,"club410"
24038,"club132"
24044,"club242"
24054,"club242"
24072,"club420"
24082,"club402"
24084,"club603"
24091,"club604"
24096,"club242"
24105,"club132"
24164,"club601"
24207,"club136"
24215,"club413"
24229,"club113"
24233,"club125"
24250,"club601"
24252,"club415"
24275,"club111"
24277,"club122"
24323,"club604"
24341,"club420"
24380,"club111"
24395,"club420"
24406,"club202"
24410,"club123"
24411,"club132"
24423,"club135"
24436,"club402"
24450,"club221"
24453,"club601"
24464,"club410"
24468,"club601"
24471,"club105"
24487,"club133"
24489,"club245"
24492,"club132"
24506,"club125"
24510,"club410"
24511,"club126"
24515,"club601"
24522,"club132"
24551,"club603"
24558,"club134"
24611,"club102"
24627,"club603"
24632,"club102"
24636,"club219"
24642,"club132"
24645,"club111"
24655,"club132"
24660,"club123"
24691,"club410"
24703,"club410"
24736,"club221"
24777,"club249"
24779,"club111"
24780,"club109"
24784,"club401"
24788,"club242"
24789,"club129"
24807,"club111"
24809,"club132"
24810,"club123"
24826,"club402"
24834,"club601"
24836,"club133"
24859,"club132"
24908,"club127"
24922,"club604"
24948,"club132"
24949,"club109"
24953,"club125"
24965,"club132"
24977,"club222"
24989,"club111"
25026,"club123"
25043,"club123"
25050,"club111"
25056,"club124"
25062,"club125"
25069,"club210"
25089,"club101"
25092,"club604"
25093,"club402"
25109,"club213"
25122,"club105"
25142,"club242"
25150,"club109"
25173,"club117"
25186,"club123"
25198,"club132"
25202,"club101"
25210,"club242"
25219,"club133"
25223,"club503"
25227,"club111"
25246,"club111"
25247,"club111"
25272,"club503"
25290,"club132"
25300,"club133"
25301,"club242"
25306,"club133"
25325,"club133"
25359,"club126"
25366,"club132"
25367,"club402"
25380,"club249"
25384,"club233"
25403,"club123"
25414,"club135"
25445,"club413"
25468,"club135"
25470,"club128"
25478,"club111"
25512,"club133"
25513,"club117"
25515,"club117"
25538,"club128"
25553,"club402"
25557,"club404"
25558,"club242"
25572,"club503"
25592,"club111"
25604,"club258"
25611,"club132"
25615,"club133"
25616,"club117"
25636,"club108"
25668,"club604"
25695,"club128"
25707,"club121"
25714,"club604"
25725,"club132"
25727,"club221"
25757,"club401"
25796,"club132"
25817,"club402"
25835,"club132"
25837,"club132"
25839,"club221"
