uid,activity_sector,PREVIOUS_DEP,JOB_DEP,JOB_DESCRIPTION,type_of_contract,Occupational_status,job_condition,employer_type,WORKING_HOURS,employee_count
622,"OZ","68","67","524b","CDI","O","C","ct_1",1774,"tr_5"
630,"QA","64","64","526e","CDI","O","C","ct_9",2036,"tr_3"
665,"OZ","13","13","451g","CDI","O","C","ct_2",514,"tr_6"
675,"HZ","38","38","641b","CDI","O","P","ct_9",239,"tr_1"
680,"IZ","75","75","488a","CDI","O","C","ct_9",1033,"tr_1"
681,"QB","10","10","434f","CDI","O","C","ct_8",1805,"tr_4"
690,"CL","69","69","383a","CDI","O","C","ct_9",1855,"tr_6"
696,"CG","54","54","484b","CDI","O","C","ct_9",1371,"tr_6"
709,"CH","56","56","624d","CDI","O","C","ct_9",427,"tr_3"
711,"QA","68","68","526b","CDI","O","C","ct_9",1820,"tr_2"
773,"QB","33","33","525d","CDI","O","C","ct_9",1856,"tr_0"
784,"GZ","51","51","636a","CDI","O","C","ct_9",1295,"tr_5"
787,"QA","33","33","684a","CDI","O","C",NA,379,NA
789,"PZ","66","66","523b","TOA","O","C","ct_1",1820,"tr_6"
791,"OZ","78","75","333e","CDI","O","C","ct_1",1814,"tr_6"
793,"HZ","93","94","333c","CDI","O","C","ct_9",1820,"tr_6"
801,"JC","94","93","373b","CDI","O","C","ct_9",1820,"tr_6"
807,"OZ","75","75","543g","CDI","O","C","ct_1",1820,"tr_4"
816,"NZ","35","35","684a","CDI","O","P","ct_9",1929,"tr_6"
820,"CE","60","60","625b","CDI","O","C","ct_9",1503,"tr_4"
821,"GZ","67","67","374b","CDI","O","C","ct_9",996,"tr_5"
827,"GZ","77","77","554j","CDI","O","P","ct_9",820,"tr_1"
840,"GZ","31","31","461f","CDI","O","C","ct_9",1277,"tr_6"
842,"QA","77","93","526c","CDI","O","C","ct_9",455,"tr_6"
852,"QB","59","59","632k","CDI","O","P","ct_8",1165,"tr_3"
867,"PZ","49","49","422e","CDI","O","C","ct_8",1820,"tr_4"
872,"CF","64","64","625b","CDI","O","C","ct_9",1770,"tr_3"
876,"NZ","59","80","331a","CDI","O","C","ct_5",627,"tr_1"
883,"CH","35","35","684a","CDI","O","P","ct_9",1993,"tr_3"
901,"QA","55","55","526e","CDI","O","C","ct_9",951,"tr_1"
908,"GZ","67","67","552a","CDI","O","P","ct_9",1127,"tr_4"
913,"QB","85","44","526c","CDI","O","P","ct_8",939,"tr_2"
926,"CL","12","12","673c","CDI","O","C","ct_9",657,"tr_4"
930,"OZ","17","91","524c","CDI","O","P","ct_2",264,"tr_3"
941,"QA","79","49","525d","CDI","O","P","ct_9",1010,"tr_6"
948,"CB","59","59","635a","CDI","O","C","ct_9",1868,"tr_2"
950,"QB","16","16","526a","CDI","O","P","ct_8",1813,"tr_4"
955,"PZ","56","56","422b","CDI","O","C","ct_8",1820,"tr_4"
957,"TZ","17","17","563c","CDI","O","C",NA,219,NA
964,"MB","54","54","474a","CDI","O","C","ct_9",1624,"tr_5"
972,"QB","44","44","525d","CDI","O","C","ct_8",1524,"tr_4"
991,"GZ","75","93","551a","CDI","O","C","ct_9",1756,"tr_6"
997,"QA","42","69","525d","CDI","O","C","ct_8",1820,"tr_6"
999,"OZ","12","12","621f","AUT","O","C","ct_2",455,"tr_1"
1021,"PZ","38","38","525b","CDI","O","C","ct_8",1876,"tr_4"
1029,"QA","04","04","526e","CDI","O","C","ct_9",2018,"tr_4"
1036,"PZ","92","92","421b","CDI","O","C","ct_9",1820,"tr_2"
1062,"HZ","95","95","652a","CDI","O","C","ct_9",332,"tr_4"
1068,"QB","85","85","526a","CDI","O","P","ct_8",392,"tr_0"
1076,"QA","95","95","543c","CDI","O","C","ct_9",1813,"tr_6"
1109,"HZ","85","85","451a","CDI","O","P","ct_9",1617,"tr_3"
1122,"PZ",NA,NA,"525b","CDI","O","C","ct_9",1609,"tr_3"
1124,"GZ","31","31","636a","CDI","O","P","ct_9",734,"tr_1"
1126,"KZ","16","16","376d","CDI","O","C","ct_9",1820,"tr_6"
1130,"TZ","06","06","563c","CDI","O","N","ct_7",609,"tr_1"
1139,"IZ","91","75","561b","CDI","O","C","ct_9",1014,"tr_2"
1149,"PZ","92","75","525b","CDI","O","P","ct_8",485,"tr_5"
1169,"CH","54","54","534a","CDI","O","C","ct_9",1471,"tr_6"
1173,"OZ","73","73","423b","CDI","O","P","ct_2",923,"tr_5"
1191,"QA","25","25","526e","CDI","O","C","ct_9",1670,"tr_2"
1200,"KZ","69","69","467b","CDI","O","P","ct_9",1757,"tr_6"
1207,"OZ","30","30","621f","AUT","X","C","ct_2",1820,"tr_2"
1216,"HZ","39","39","642a","CDI","O","P","ct_9",340,"tr_1"
1217,"PZ","14","14","422c","CDI","O","P","ct_8",1353,"tr_4"
1230,"QB","34","34","563b","CDI","O","P","ct_8",1337,"tr_4"
1241,"CA","76","76","554a","CDI","O","C","ct_9",778,"tr_1"
1246,"IZ",NA,NA,"636d","CDI","O","P","ct_9",1236,"tr_1"
1254,"QB","33","33","632k","CDI","O","P","ct_8",811,"tr_4"
1276,"HZ","69","69","641b","CDI","O","C","ct_9",1638,"tr_3"
1286,"HZ","35","44","389c","CDI","O","C","ct_9",1820,"tr_4"
1293,"NZ","76","76","564a","CDI","O","P","ct_8",1461,"tr_1"
1295,"LZ","72","72","684a","CDI","O","P",NA,266,NA
1296,"IZ","93","75","636d","CDI","O","P","ct_9",963,"tr_1"
1301,"IZ","06","06","488b","CDI","O","C","ct_9",942,"tr_1"
1314,"GZ","59","68","556a","CDI","O","C","ct_9",1326,"tr_6"
1326,"NZ","92","95","534a","CDI","O","C","ct_9",1743,"tr_6"
1327,"MC","78","78","643a","CDI","O","P","ct_9",853,"tr_3"
1331,"OZ","04","04","523c","AUT","O","C","ct_2",1820,"tr_1"
1336,"NZ","31","31","684a","CDI","O","C","ct_9",1274,"tr_4"
1339,"NZ","54","54","684a","CDI","O","P","ct_9",1796,"tr_6"
1343,"PZ","59","59","422c","CDI","O","C","ct_8",2418,"tr_3"
1348,"OZ","01","01","525a","AUT","O","C","ct_2",1820,"tr_4"
1349,"EZ","63","63","641a","CDI","O","C","ct_9",1785,"tr_4"
1351,"QA","41","41","526a","CDI","O","C","ct_9",1885,"tr_6"
1358,"CA","62","62","477b","CDI","O","C","ct_9",1523,"tr_5"
1375,"CC","45","45","626c","CDI","O","C","ct_9",1633,"tr_6"
1376,"GZ","56","56","628g","CDI","O","P","ct_9",787,"tr_5"
1377,"CA","54","54","625g","CDI","O","C","ct_9",1920,"tr_3"
1383,"AZ","68","68","691e","CDI","O","C",NA,260,NA
1384,"TZ","40","64","563c","AUT","O","C",NA,190,NA
1402,"SZ","79","79","375b","CDI","O","C","ct_4",1820,"tr_4"
1412,"KZ","69","69","461f","CDI","O","C","ct_9",1820,"tr_6"
1424,"KZ","75","92","461d","CDI","O","C","ct_9",1820,"tr_6"
1425,"PZ","13","13","421b","CDI","O","C","ct_8",1820,"tr_2"
1430,"GZ","62","62","551a","CDI","O","C","ct_9",1917,"tr_3"
1435,"SZ","83","83","635a","CDI","O","C",NA,154,NA
1447,"QA","76","76","632k","AUT","O","C","ct_3",1809,"tr_6"
1450,"SZ","62","62","675a","AUT","X","P","ct_8",1409,"tr_3"
1463,"CB","43","43","476b","CDI","O","C","ct_9",1697,"tr_5"
1467,"MA","51","51","684a","CDI","O","P","ct_6",395,"tr_1"
1471,"QB","72","72","543f","CDI","O","C","ct_9",480,"tr_4"
1481,"HZ","88","88","621f","CDD","O","C","ct_2",257,"tr_3"
1485,"CL","62","62","624e","CDI","O","C","ct_9",1846,"tr_6"
1496,"QA","93","77","526e","CDI","O","C","ct_9",1695,"tr_1"
1501,"LZ","34","34","524c","CDI","O","C","ct_5",1820,"tr_5"
1516,"QB","49","49","526a","CDI","O","C","ct_8",1790,"tr_3"
1517,"QB","94","94","525d","CDI","O","C","ct_8",1609,"tr_5"
1521,"GZ","60","60","676a","TOA","O","C","ct_9",723,"tr_4"
1527,"SZ","06","06","636d","CDI","O","C","ct_8",1204,"tr_3"
1528,"TZ","84","84","563c","CDI","O","N","ct_7",958,"tr_0"
1536,"FZ","17","17","632a","CDI","O","C","ct_9",1755,"tr_5"
1539,"HZ","77","77","641a","CDI","O","C","ct_9",1730,"tr_4"
1561,"SZ","06","06","636d","CDI","O","C","ct_8",1204,"tr_3"
1582,"CM","54","54","637b","CDI","O","C","ct_9",907,"tr_2"
1601,"IZ","45","45","561c","CDI","O","C","ct_9",1431,"tr_1"
1606,"HZ","94","94","676c","CDI","O","C","ct_9",1578,"tr_3"
1610,"NZ","92","91","684a","CDI","O","P","ct_9",489,"tr_6"
1612,"NZ",NA,NA,"632a","CDI","O","C",NA,197,"tr_5"
1631,"TZ","35","35","563c","CDI","O","N","ct_7",1095,"tr_1"
1644,"QB","38","38","563b","CDI","O","P","ct_8",874,"tr_3"
1650,"FZ","60","60","621c","CDI","O","C","ct_9",920,"tr_2"
1659,"CF","66","69","463c","CDI","O","P","ct_9",1725,"tr_6"
1662,"CA","35","35","625a","CDI","O","C","ct_9",1880,"tr_5"
1673,"QA","82","82","525d","CDI","O","C","ct_9",1815,"tr_3"
1682,"QB",NA,NA,"563b","CDI","O","C","ct_9",1422,"tr_3"
1686,"HZ","91","91","641a","CDI","O","C","ct_9",1680,"tr_1"
1688,"HZ","80","80","641b","CDI","O","C","ct_9",683,"tr_6"
1697,"HZ","12","75","526d","CDI","O","P","ct_9",1069,"tr_6"
1703,"QA","72","72","632k","AUT","O","C","ct_3",1805,"tr_6"
1721,"LZ","22","35","526e","CDI","O","C","ct_9",2014,"tr_0"
1724,"QB","56","56","563a","CDI","O","N","ct_7",3000,"tr_1"
1727,"CH","62","62","621a","CDI","O","C","ct_9",2030,"tr_3"
1742,"FZ","94","94","543b","CDI","O","C",NA,227,NA
1747,"QA","34","34","523d","AUT","O","C","ct_3",1820,"tr_6"
1749,"EZ","38","38","564b","CDD","O","C","ct_9",304,"tr_1"
1767,"CH","42","42","673b","CDI","O","C","ct_9",1017,"tr_1"
1774,"QA","51","51","526c","CDI","O","C","ct_9",1820,"tr_6"
1785,"CL","78","78","534a","CDI","O","C","ct_9",2032,"tr_6"
1794,"GZ","11","11","477c","CDI","O","C","ct_9",959,"tr_2"
1804,"OZ","11","34","389b","AUT","O","C","ct_1",1820,"tr_5"
1846,"NZ",NA,NA,"631a","AUT","X","P","ct_8",455,"tr_3"
1861,"CH","39","39","623g","CDI","O","C","ct_9",1291,"tr_5"
1869,"AZ","73","73","691b","CDD","O","P",NA,260,NA
1884,"QA","62","62","451h","CDI","O","C","ct_3",1820,"tr_6"
1886,"TZ","78","78","563c","CDI","O","C",NA,1175,NA
1913,"QA","2A","2A","526a","CDI","O","C",NA,144,NA
1917,"QB","91","91","542a","CDI","O","C","ct_8",1820,"tr_6"
1920,"FZ","06","13","372b","CDI","O","C","ct_9",1820,"tr_4"
1926,"GZ","85","85","433d","CDI","O","C","ct_9",1062,"tr_1"
1940,"CC","59","59","485b","CDI","O","C","ct_9",1754,"tr_6"
1941,"PZ","27","27","525b","CDI","O","C",NA,437,NA
1950,"HZ","68","68","451g","CDI","O","C","ct_4",1860,"tr_6"
1954,"GZ","07","92","463d","CDI","O","C","ct_9",1655,"tr_3"
1966,"NZ","40","64","684a","CDI","O","C",NA,248,"tr_6"
1969,"JA","94","92","684a","CDD","O","P","ct_9",1262,"tr_3"
1971,"QA","01","01","526c","CDI","O","P","ct_9",1811,"tr_5"
1994,"OZ",NA,NA,"525b","AUT","O","C","ct_2",1820,"tr_6"
2003,"OZ","89","75","333f","CDI","O","P","ct_2",1706,"tr_1"
2012,"QB","86","86","563a","AUT","O","P","ct_2",158,"tr_6"
2021,"FZ","71","71","542a","CDI","O","P","ct_9",1073,"tr_1"
2022,"JA","30","30","564b","CDI","O","C",NA,456,NA
2024,"FZ","59","59","632j","CDI","O","C","ct_9",1590,"tr_3"
2046,"PZ","33","91","423b","CDI","O","C",NA,342,NA
2125,"QB","72","72","525d","CDI","O","P","ct_8",1456,"tr_4"
2138,"JC","38","01","543h","CDI","O","C","ct_9",1820,"tr_1"
2141,"GZ","13","13","676a","CDI","O","C","ct_9",304,"tr_3"
2174,"CG","26","26","652a","CDI","O","C","ct_9",2026,"tr_4"
2176,"NZ","92","93","534a","CDI","O","C","ct_9",1260,"tr_1"
2181,"TZ","59","59","563c","CDI","O","N","ct_7",1967,"tr_0"
2189,"QB","68","68","451h","CDI","O","C","ct_3",1820,"tr_5"
2199,"QB","77","77","563a","CDI","O","N","ct_7",3000,"tr_1"
2214,"GZ","13","13","374a","CDI","O","C","ct_9",2200,"tr_1"
2225,"CA","56","56","484a","CDI","O","C","ct_9",1648,"tr_5"
2235,"NZ","74","74","684a","CDI","O","P","ct_9",1035,"tr_3"
2250,"HZ","36","36","641a","CDI","O","C","ct_9",1292,"tr_4"
2252,"FZ","94","94","481b","CDI","O","C","ct_9",152,"tr_5"
2269,"QB","64","64","526d","CDI","O","C","ct_8",1638,"tr_4"
2295,"QB","34","34","526a","CDI","O","C","ct_8",1820,"tr_4"
2298,"KZ","73","73","545b","CDI","O","P","ct_9",1443,"tr_6"
2304,"PZ","64","64","423b","CDI","O","P",NA,164,NA
2308,"HZ","81","81","451a","CDI","O","P","ct_9",1274,"tr_4"
2312,"NZ","92","93","534a","CDI","O","C","ct_9",2000,"tr_6"
2313,"CM","06","06","433c","CDI","O","C","ct_9",1489,"tr_1"
2315,"GZ","84","84","542a","CDI","O","C","ct_9",1820,"tr_1"
2320,"QB","76","76","526d","CDI","O","C","ct_8",910,"tr_3"
2321,"QA","95","93","344b","CDI","O","C","ct_8",1820,"tr_5"
2340,"OZ","23","23","525b","CDI","O","C",NA,151,NA
2342,"GZ","66","66","552a","CDI","O","C","ct_9",1781,"tr_1"
2350,"MA","06","06","543h","CDI","O","P","ct_9",1000,"tr_2"
2360,"LZ","33","33","542a","CDI","O","P","ct_9",1407,"tr_1"
2365,"FZ","08","08","671c","CDI","O","C","ct_9",1674,"tr_3"
2375,"PZ","62","62","341a","CDI","O","C","ct_8",1820,"tr_4"
2382,"LZ","35","35","632k","CDI","O","C","ct_5",1722,"tr_6"
2397,"QB","38","38","563b","CDI","O","N","ct_7",419,"tr_0"
2412,"QA","49","49","525d","CDI","O","C","ct_8",1260,"tr_6"
2417,"EZ","55","55","481b","CDI","O","C","ct_9",1652,"tr_1"
2422,"NZ","91","91","423b","CDI","O","C",NA,340,"tr_6"
2425,"KZ","12","12","541b","CDI","O","P","ct_9",1081,"tr_1"
2434,"CG","63","63","484b","CDI","O","C","ct_9",913,"tr_6"
2439,"GZ","13","13","554a","CDI","O","C","ct_9",2169,"tr_6"
2443,"JC","10","10","388a","CDI","O","C","ct_9",2002,"tr_3"
2446,"QB","17","17","563a","AUT","O","C","ct_2",2275,"tr_6"
2463,"GZ","65","65","553b","CDI","O","C","ct_9",1424,"tr_3"
2467,"QB","56","56","525d","CDI","O","P","ct_8",1097,"tr_4"
2471,"CH","38","73","684a","CDI","O","C","ct_9",663,"tr_5"
2472,"NZ",NA,NA,"534a","CDI","O","C","ct_9",1777,"tr_1"
2473,"KZ","95","95","467a","CDI","O","C","ct_9",1708,"tr_2"
2479,"HZ","13","84","641b","CDI","O","P","ct_9",749,"tr_3"
2483,"QB","76","76","434a","CDI","O","C","ct_8",696,"tr_3"
2485,"KZ","17","79","467c","CDI","O","C","ct_9",1806,"tr_6"
2497,"CH","76","27","543f","CDI","O","C","ct_9",1820,"tr_6"
2510,"SZ","51","51","461b","CDI","O","C","ct_4",1806,"tr_4"
2513,"OZ","88","88","451g","CDI","O","P","ct_2",1560,"tr_6"
2515,"PZ","51","51","684a","CDD","O","P","ct_8",512,"tr_3"
2519,"PZ","44","80","421b","CDI","O","P","ct_8",1450,"tr_3"
2521,"KZ","78","75","373b","CDI","O","C","ct_9",1820,"tr_6"
2527,"QB","17","17","525d","CDI","O","C","ct_9",489,"tr_3"
2535,"QB","87","36","525d","CDI","O","C","ct_8",1820,"tr_3"
2548,"OZ","91","94","333e","CDI","O","C","ct_1",2028,"tr_5"
2564,"GZ","02","02","382a","CDI","O","C","ct_9",1792,"tr_5"
2578,"NZ","32","32","461d","TTP","O","C","ct_9",1475,"tr_1"
2579,"GZ","29","29","676d","CDI","O","C","ct_8",1447,"tr_2"
2602,"GZ","31","31","552a","CDI","O","C","ct_9",1863,"tr_3"
2608,"KZ","78","75","375a","CDI","O","C","ct_9",1950,"tr_1"
2609,"TZ","17","17","563c","CDI","O","C",NA,218,NA
2655,"NZ","91","95","684a","CDI","O","P","ct_9",1432,"tr_4"
2657,"CG","91","91","484b","CDI","O","C","ct_9",1428,"tr_3"
2663,"OZ","01","01","523b","AUT","O","C","ct_1",1820,"tr_4"
2686,"GZ","69","69","652a","CDI","O","C","ct_9",1936,"tr_3"
2692,"QB","33","33","525d","CDI","O","C","ct_8",1242,"tr_3"
2708,"SZ","39","92","432d","CDI","O","P","ct_9",511,"tr_6"
2714,"QA","51","51","433a","CDI","O","C","ct_9",2189,"tr_5"
2719,"CL","13","13","384b","CDI","O","C","ct_9",1906,"tr_6"
2721,"GZ","83","42","374a","CDI","O","C","ct_9",390,"tr_6"
2722,"QB","2B","2B","525d","CDI","O","C","ct_9",1560,"tr_4"
2734,"CM","29","29","623g","CDI","O","C","ct_9",1180,"tr_2"
2736,"RZ","75","75","333e","CDI","O","C","ct_1",1820,"tr_6"
2739,"MA","75","92","388a","CDI","O","C","ct_9",543,"tr_6"
2741,"SZ","37","41","435a","CDI","O","C","ct_8",2035,"tr_1"
2747,"QA","03","23","432d","CDI","O","C","ct_8",1820,"tr_3"
2761,"QB","45","45","563a","CDI","O","N","ct_7",3000,"tr_1"
2779,"KZ","33","33","542a","CDI","O","C","ct_9",2000,"tr_1"
2782,"QB","59","59","563a","CDI","O","C",NA,438,NA
2791,"PZ","62","59","525a","CDI","O","C",NA,388,NA
2796,"NZ","13","13","684a","CDI","O","C","ct_9",1764,"tr_4"
2805,"CA","78","78","554a","CDI","O","P","ct_9",847,"tr_2"
2806,"JB","83","83","543h","CDI","O","C","ct_9",434,"tr_1"
2819,"OZ","94","94","523b","AUT","O","C","ct_1",1820,"tr_6"
2842,"QA","45","45","433a","CDI","O","C","ct_9",325,"tr_2"
2843,"GZ","78","92","344d","CDI","O","P","ct_9",1257,"tr_1"
2846,"NZ","78","93","534a","CDI","O","C","ct_9",1867,"tr_6"
2853,"PZ","51","51","423b","CDI","O","C",NA,126,NA
2858,"QB","54","54","543h","CDI","O","P","ct_8",1003,"tr_5"
2861,"CA","81","81","674b","CDI","O","C","ct_9",496,"tr_5"
2866,"QA","75","75","344a","CDI","O","P","ct_3",728,"tr_6"
2873,"IZ",NA,NA,"477a","CDI","O","C","ct_9",1483,"tr_5"
2893,"CK","38","38","676c","CDI","O","C","ct_9",1734,"tr_5"
2912,"PZ","92","75","525b","CDI","O","P","ct_8",485,"tr_5"
2917,"GZ","91","91","554b","CDI","O","C","ct_9",1708,"tr_6"
2923,"NZ","95","95","676a","CDI","O","C","ct_9",462,"tr_4"
2925,"GZ","57","54","543b","CDI","O","C","ct_9",1792,"tr_6"
2932,"GZ","13","03","463c","CDI","O","C","ct_9",1316,"tr_5"
2934,"GZ","10","10","653a","CDI","O","C","ct_9",660,"tr_4"
2940,"GZ","84","84","552a","CDI","O","C","ct_9",2200,"tr_5"
2942,"NZ","67","31","533a","CDI","O","C","ct_9",2244,"tr_5"
2951,"OZ","23","23","545d","CDI","O","C","ct_8",2048,"tr_5"
2954,"EZ","65","32","684b","CDI","O","C","ct_9",1299,"tr_4"
2972,"TZ","60","95","563c","AUT","O","P",NA,687,NA
2979,"MA","31","92","463c","CDI","O","C","ct_9",1763,"tr_6"
2980,"FZ","76","76","632a","CDI","O","C","ct_9",1820,"tr_1"
2986,"PZ","75","92","422b","CDI","O","C","ct_8",1820,"tr_3"
2989,"NZ","93","92","372c","AUT","X","P","ct_9",1610,"tr_6"
2995,"SZ","56","56","524c","CDI","O","C","ct_4",1849,"tr_5"
3011,"HZ","21","21","451a","CDI","O","C","ct_9",1820,"tr_6"
3016,"QB","12","12","563a","CDI","O","N","ct_7",3000,"tr_1"
3017,"PZ","74","74","341a","CDI","O","C","ct_8",1820,"tr_5"
3040,"HZ","13","13","641a","CDI","O","C","ct_9",2200,"tr_4"
3061,"FZ","47","47","481a","CDI","O","C","ct_9",1180,"tr_2"
3068,"CH","67","67","541b","CDI","O","C","ct_9",1517,"tr_6"
3069,"GZ","49","49","551a","CDI","O","P","ct_9",1813,"tr_5"
3072,"QB","74","74","525d","CDI","O","P","ct_8",532,"tr_4"
3083,"NZ","24","24","676e","TTP","O","N","ct_9",336,"tr_1"
3085,"GZ","62","62","477c","CDI","O","C","ct_9",1473,"tr_2"
3091,"TZ","90","90","563c","CDI","O","C",NA,166,NA
3095,"NZ","29","29","542a","CDI","O","C","ct_9",507,"tr_1"
3099,"QB","60","60","526a","CDI","O","C","ct_9",1117,"tr_1"
3101,"JB","13","13","478d","AUT","O","C","ct_9",1610,"tr_6"
3104,"QB","31","31","526d","CDI","O","C","ct_8",1820,"tr_4"
3108,"QA","38","38","525d","CDI","O","P","ct_8",531,"tr_6"
3110,"QA","29","29","431d","CDI","O","P","ct_9",1467,"tr_6"
3122,"FZ","85","85","542a","CDI","O","C","ct_6",2924,"tr_1"
3124,"QB","27","27","563b","CDD","O","P","ct_2",1700,"tr_4"
3127,"OZ","45","45","434b","CDI","O","C","ct_8",1164,"tr_2"
3129,"GZ","03","03","552a","CDI","O","P","ct_9",1347,"tr_5"
3164,"QB","33","33","525d","CDI","O","C","ct_8",1813,"tr_4"
3178,"QB","11","11","434a","CDI","O","C","ct_8",1820,"tr_2"
3185,"OZ","13","13","331a","CDI","O","C","ct_8",1849,"tr_6"
3193,"PZ","22","22","354g","CDI","O","P",NA,167,NA
3197,"MC","74","74","374d","CDI","O","P","ct_9",799,"tr_1"
3213,"QB","27","61","526d","CDI","O","C","ct_8",1380,"tr_3"
3229,"OZ","59","59","545d","CDI","O","P","ct_8",494,"tr_6"
3235,"KZ","69","69","542a","CDI","O","P","ct_9",1447,"tr_1"
3239,"QA","65","65","526b","CDI","O","P","ct_8",1556,"tr_2"
3251,"IZ","94","75","488a","CDI","O","C","ct_9",889,"tr_1"
3256,"QA","40","64","431d","CDI","O","P","ct_3",834,"tr_6"
3263,"OZ","93","93","477a","CDI","O","C","ct_1",1062,"tr_6"
3275,"QA","14","14","526a","CDI","O","C","ct_9",1902,"tr_4"
3279,"QB","75","75","526d","CDI","O","C","ct_4",1690,"tr_5"
3291,"KZ","18","18","461d","CDI","O","P","ct_9",780,"tr_1"
3300,"CM","91","75","554e","CDI","O","C","ct_9",1240,"tr_3"
