uid,stipend,employee_count,job_condition,WORKING_HOURS,JOB_DEP,Occupational_status,employer_type,type_of_contract,activity_sector,JOB_DESCRIPTION
283,6550,"tr_1","N",748,"69","O","ct_7","CDI","QB","563b"
309,51774,"tr_2","C",1291,"69","O","ct_9","CDI","GZ","374d"
310,24288,"tr_5","C",1802,"69","O","ct_9","CDI","HZ","478d"
316,26259,"tr_5","C",1820,"01","O","ct_8","CDI","PZ","341a"
320,19253,"tr_2","C",868,"01","O","ct_9","CDI","FZ","481a"
321,2767,"tr_1","N",227,"01","O","ct_9","TTP","NZ","641a"
323,10791,"tr_5","C",1440,"69","X","ct_9","AUT","MA","473b"
334,22581,"tr_5","C",2016,"01","O","ct_8","CDI","PZ","422c"
337,25634,"tr_3","C",1792,"39","O","ct_8","CDI","QB","434c"
338,47520,"tr_4","C",1796,"71","O","ct_8","CDI","QB","434a"
347,29454,"tr_6","C",1820,"69","O","ct_9","CDI","QA","526a"
352,26210,"tr_2","C",1566,"69","O","ct_9","CDI","FZ","632f"
357,24435,"tr_1","C",1405,"10","O","ct_9","CDI","GZ","374d"
359,11867,"tr_2","P",998,"01","O","ct_8","CDI","QB","525d"
364,25105,"tr_3","C",1978,"01","O","ct_9","CDI","GZ","462e"
374,10780,"tr_4","P",852,"01","O","ct_8","CDI","MA","543g"
376,10610,"tr_6","P",1028,"01","O","ct_8","CDI","QB","563b"
379,20249,"tr_5","C",1826,"01","O","ct_9","CDI","CG","625c"
381,7206,"tr_1","C",548,"01","O","ct_9","CDI","GZ","461f"
386,33344,"tr_6","C",1890,"69","O","ct_3","CDI","QA","432b"
391,30918,"tr_2","C",1842,"01","O","ct_9","CDI","CM","485b"
397,20913,"tr_4","P",1499,"01","O","ct_8","CDI","QB","526a"
398,21116,"tr_6","P",1638,"01","O","ct_9","CDI","CM","673c"
402,14452,"tr_4","C",1704,"69","O","ct_9","CDI","MA","543g"
409,16588,"tr_3","C",1700,"69","O","ct_9","CDI","FZ","681a"
418,45635,"tr_5","C",1824,"01","O","ct_9","CDI","CA","484a"
419,23974,"tr_1","C",1573,"01","O","ct_9","CDI","GZ","487a"
427,5988,"tr_1","P",615,"01","O","ct_9","CDD","GZ","554e"
434,18322,"tr_4","C",1785,"01","O","ct_8","CDI","QB","526d"
439,22485,"tr_3","C",1734,"69","O","ct_8","CDI","QB","434d"
447,23848,"tr_6","C",1955,"01","O","ct_9","CDI","CL","543g"
449,28293,"tr_1","C",1950,"01","O","ct_9","CDI","MA","461d"
450,21392,"tr_2","C",1623,"01","O","ct_9","CDI","FZ","632j"
452,21322,"tr_5","P",1417,"01","O","ct_2","AUT","OZ","621f"
455,21841,"tr_5","C",1873,"01","O","ct_9","CDI","CA","625f"
459,135066,"tr_5","C",1748,"01","O","ct_9","CDI","FZ","373c"
461,59435,"tr_4","C",1580,"69","O","ct_9","CDI","GZ","387d"
462,2586,"tr_1","C",221,"69","O","ct_9","TTP","NZ","653a"
467,29638,"tr_3","C",2200,"89","O","ct_9","CDI","HZ","641a"
473,19954,"tr_2","P",1274,"01","O","ct_9","CDI","HZ","333c"
480,54966,"tr_3","P",3000,"69","O","ct_8","CDI","PZ","421b"
482,42671,"tr_5","C",1771,"15","O","ct_9","CDI","FZ","382c"
484,47756,"tr_6","P",1080,"01","O","ct_3","CDI","QA","344a"
495,57641,"tr_4","C",1778,"01","O","ct_9","CDI","CK","374c"
501,23721,"tr_5","C",1642,"69","O","ct_9","CDI","CK","624b"
505,23588,"tr_1","P",1579,"01","O","ct_9","CDI","GZ","433d"
509,28452,"tr_1","C",2052,"01","O","ct_9","CDI","CH","673a"
518,20682,"tr_1","C",2011,"01","O","ct_9","CDI","SZ","685a"
533,13302,"tr_1","P",818,"01","O","ct_8","CDI","RZ","354g"
540,16997,"tr_5","C",1657,"01","O","ct_5","CDI","LZ","564a"
543,17241,"tr_3","C",1820,"01","O","ct_8","CDI","QB","525d"
555,34349,"tr_5","C",1387,"01","O","ct_9","CDI","GZ","461c"
561,38178,"tr_2","C",1820,"69","O","ct_9","CDI","MA","542a"
564,14392,"tr_1","C",1301,"01","O","ct_9","TTP","NZ","676c"
565,26458,"tr_4","P",1638,"01","O","ct_9","CDI","NZ","544a"
566,23785,"tr_1","C",1673,"74","O","ct_9","CDI","NZ","424a"
568,6186,"tr_1","C",910,"01","O","ct_9","CDI","FZ","632j"
571,23073,"tr_2","C",1600,"69","O","ct_9","CDI","CM","433c"
572,3787,"tr_1","C",908,"01","A","ct_9","APP","CA","683a"
578,14251,"tr_2","C",1333,"01","O","ct_9","CDI","GZ","552a"
581,25300,"tr_4","C",1820,"01","O","ct_1","CDI","PZ","422c"
585,40630,"tr_4","C",1670,"69","O","ct_9","CDI","FZ","481a"
590,3906,"tr_3","P",353,"01","O","ct_2","CDI","OZ","524c"
592,25108,"tr_3","C",1857,"38","O","ct_9","CDI","BZ","621g"
597,22417,"tr_1","C",2115,"01","O","ct_9","CDI","EZ","676a"
600,23089,"tr_2","C",1860,"01","O","ct_9","CDI","MA","473c"
608,59486,"tr_2","C",1820,"01","O","ct_9","CDI","GZ","374a"
609,23768,"tr_6","C",1771,"69","O","ct_9","CDI","DZ","485a"
611,15016,"tr_1","P",1000,"69","O","ct_8","CDI","RZ","372d"
620,16016,"tr_6","C",898,"01","O","ct_9","CDI","GZ","684a"
623,4654,"tr_1","C",446,"01","O","ct_9","CDI","QA","526e"
628,17008,"tr_4","C",1843,"01","O","ct_8","CDI","QA","526a"
629,20784,"tr_5","C",1883,"01","O","ct_9","CDI","HZ","676c"
631,18918,"tr_6","C",1799,"01","O","ct_9","CDI","HZ","676c"
632,13283,"tr_6","P",1287,"01","O","ct_8","CDI","QB","563b"
645,7691,"tr_1","C",398,"39","O","ct_9","CDI","GZ","462e"
650,26081,"tr_3","C",1711,"01","O","ct_9","CDI","FZ","632f"
652,32396,"tr_0","C",1938,"69","O","ct_9","CDI","MA","477a"
653,21206,"tr_2","C",1694,"01","O","ct_9","CDI","FZ","632c"
657,27794,"tr_4","C",1872,"01","O","ct_9","CDI","CL","628a"
658,24116,"tr_6","C",1820,"75","O","ct_9","CDI","JB","478d"
663,26173,"tr_1","C",2130,"01","O","ct_9","CDI","HZ","546c"
668,22546,"tr_5","C",1832,"01","O","ct_9","CDI","CA","478c"
669,27598,"tr_1","C",1523,"69","O","ct_9","CDI","JC","388d"
670,18777,"tr_3","C",1820,"01","O","ct_8","CDI","PZ","422c"
686,2396,"tr_3","P",264,"01","O","ct_9","CDI","QB","563b"
687,34004,"tr_4","C",1778,"69","O","ct_9","CDI","JB","462e"
701,1074,NA,"P",160,"01","O",NA,"CDI","KZ","543b"
703,1017,"tr_3","P",150,"01","X","ct_8","AUT","QB","676e"
710,17752,"tr_4","C",1820,"01","O","ct_8","CDI","QB","525d"
712,3772,NA,"C",288,"01","O",NA,"CDI","TZ","563c"
714,44823,"tr_4","C",1820,"69","O","ct_9","CDI","KZ","376c"
721,21594,"tr_1","N",3000,"01","O","ct_7","CDI","QB","563a"
728,22238,"tr_3","C",1991,"01","O","ct_9","CDI","CG","674a"
731,17408,"tr_1","N",1890,"69","O","ct_7","CDI","QB","563b"
733,33321,"tr_3","N",1617,"01","O","ct_9","CDI","NZ","674a"
736,18713,"tr_3","C",1820,"01","O","ct_8","CDI","QB","526d"
737,3280,"tr_3","C",291,"01","O","ct_9","CDI","IZ","561d"
739,19135,"tr_6","C",1799,"01","O","ct_9","CDI","HZ","676c"
744,26534,"tr_4","P",1458,"69","O","ct_9","CDI","KZ","376e"
746,28022,"tr_1","C",1805,"01","O","ct_5","CDI","NZ","546b"
761,7094,"tr_6","P",584,"71","O","ct_9","CDI","NZ","684a"
763,2875,"tr_4","C",322,"01","O","ct_9","CDD","CL","674a"
765,4325,"tr_1","C",595,"34","A","ct_9","APP","GZ","462d"
766,22653,"tr_6","C",1820,"01","O","ct_9","CDI","MA","461c"
770,24157,"tr_3","P",1568,"01","O","ct_8","CDI","QB","311d"
779,14034,"tr_2","C",1303,"01","O","ct_9","CDD","CA","625f"
781,32479,"tr_3","C",1681,"01","O","ct_5","CDI","HZ","641b"
788,36292,"tr_5","C",1810,"01","O","ct_9","CDI","GZ","461e"
790,11066,"tr_1","C",1820,"39","A","ct_8","APP","IZ","479b"
797,20629,"tr_1","C",1820,"01","O","ct_9","CDI","EZ","684b"
800,28081,"tr_1","C",1805,"01","O","ct_9","CDI","KZ","467a"
804,26850,"tr_3","C",1747,"01","O","ct_9","CDI","GZ","461d"
836,13586,"tr_1","C",1035,"01","O","ct_9","TTP","NZ","676c"
841,36113,"tr_1","C",1820,"01","O","ct_9","CDI","LZ","461b"
854,29185,"tr_6","C",1831,"01","O","ct_9","CDI","DZ","477c"
855,21947,"tr_2","C",1545,"01","O","ct_8","CDI","QB","435b"
857,25010,"tr_3","C",1771,"69","O","ct_9","CDI","KZ","545c"
864,33518,"tr_5","C",1827,"01","O","ct_9","CDI","CG","628a"
875,21879,"tr_3","C",1857,"01","O","ct_8","CDI","QB","525d"
877,20475,"tr_5","C",1753,"01","O","ct_9","CDI","GZ","551a"
878,5106,"tr_1","P",496,"01","O","ct_2","CDI","OZ","524c"
881,29402,"tr_3","C",2105,"01","O","ct_9","CDI","CM","543f"
885,37194,"tr_6","C",1840,"69","O","ct_3","AUT","QA","431f"
887,21853,"tr_1","P",1896,"01","O","ct_9","CDI","NZ","691e"
897,15014,"tr_1","C",1244,"01","O","ct_9","CDI","IZ","488a"
898,19952,"tr_5","C",1932,"69","O","ct_9","CDI","GZ","552a"
921,22674,"tr_5","C",1768,"74","O","ct_8","CDI","KZ","541d"
925,22674,"tr_4","C",1760,"01","O","ct_8","CDI","QB","423b"
938,25963,"tr_3","C",1820,"01","O","ct_9","CDI","MA","461b"
942,14410,"tr_1","C",1246,"01","O","ct_9","CDI","GZ","643a"
944,50841,"tr_3","C",1820,"91","O","ct_9","CDI","FZ","382c"
945,21176,"tr_5","P",1456,"69","O","ct_9","CDI","EZ","461e"
949,15706,"tr_4","C",1630,"69","O","ct_9","CDD","JC","542b"
952,4659,"tr_1","P",464,"01","O","ct_9","CDI","NZ","684a"
958,11213,"tr_5","C",406,"69","O","ct_9","CDI","CK","624c"
975,24858,"tr_5","C",1183,"59","O","ct_9","CDI","HZ","654b"
984,27874,"tr_2","C",1951,"51","O","ct_9","CDI","GZ","462b"
989,19362,"tr_2","C",1709,"02","O","ct_9","CDI","GZ","542a"
998,18374,"tr_3","C",601,"02","O","ct_9","CDI","CJ","672a"
1006,34950,"tr_4","C",2028,"51","O","ct_9","CDI","HZ","466c"
1011,13822,"tr_5","C",1616,"59","O","ct_9","CDI","NZ","534a"
1012,36066,"tr_6","C",1820,"02","O","ct_2","AUT","OZ","451g"
1013,12931,"tr_1","C",1245,"38","O","ct_9","CDI","IZ","561c"
1020,4341,"tr_2","C",455,"02","O","ct_9","CDD","FZ","472a"
1030,35600,"tr_5","C",1874,"02","O","ct_8","CDI","OZ","388b"
1040,23497,"tr_3","C",1741,"02","O","ct_8","CDI","QB","434d"
1051,23994,"tr_1","C",1799,"02","O","ct_9","CDI","KZ","467c"
1066,13032,"tr_4","P",792,"51","O","ct_8","CDI","OZ","451e"
1106,26343,"tr_6","C",1623,"75","O","ct_9","CDI","HZ","621d"
1111,34836,"tr_3","C",2067,"59","O","ct_9","CDI","MA","477b"
1119,41226,"tr_6","C",1987,"02","O","ct_9","CDI","CA","628b"
1129,27651,"tr_6","C",1834,"02","O","ct_9","CDI","CA","543b"
1148,30076,"tr_3","C",1849,"02","O","ct_4","CDI","OZ","376f"
1161,14504,"tr_1","C",1438,"02","O","ct_9","CDI","IZ","561e"
1165,18928,"tr_6","C",1694,"02","O","ct_9","CDI","HZ","628a"
1170,15870,"tr_1","C",1459,"77","O","ct_9","CDI","SZ","562b"
1172,17954,"tr_6","C",1820,"80","O","ct_1","CDI","OZ","422a"
1175,34795,"tr_1","C",2007,"02","O","ct_9","CDI","CA","643a"
1177,2286,NA,"C",300,"02","O",NA,"CDI","AZ","542a"
1181,2245,NA,"C",212,"02","O",NA,"CDI","QB","525d"
1182,55468,"tr_1","C",1802,"02","O","ct_9","CDI","KZ","376d"
1184,2442,NA,"C",214,"02","O",NA,"CDI","CA","691d"
1186,18936,"tr_2","C",1633,"02","O","ct_9","CDI","HZ","451a"
1187,20885,"tr_5","C",1781,"02","O","ct_9","CDI","CH","653a"
1190,20770,"tr_2","C",2107,"02","O","ct_9","CDI","QA","526e"
1194,11442,"tr_5","C",1134,"02","O","ct_9","CDI","SZ","551a"
1198,29430,"tr_3","C",1729,"75","O","ct_8","CDI","QB","423b"
1204,25260,"tr_4","C",1785,"02","O","ct_8","CDI","PZ","422e"
1209,10838,"tr_1","P",1216,"02","O","ct_9","CDD","GZ","676c"
1218,22291,"tr_6","C",2201,"94","O","ct_9","CDI","NZ","534a"
1221,38021,"tr_5","C",1792,"02","O","ct_9","CDI","CK","461d"
1222,51149,"tr_3","C",1579,"16","O","ct_9","CDI","CE","372a"
1226,6378,"tr_6","P",606,"60","A","ct_9","CDI","NZ","684a"
1228,30827,"tr_4","C",1820,"02","O","ct_8","CDI","PZ","341a"
1238,18962,"tr_1","C",1742,"02","O","ct_6","CDI","FZ","632a"
1245,2159,"tr_4","P",226,"02","O","ct_3","CDI","QB","523d"
1256,16482,"tr_2","C",1804,"02","O","ct_9","CDI","QA","526e"
1258,38279,"tr_5","C",1936,"93","O","ct_8","CDI","QB","434a"
1261,7349,"tr_1","N",546,"02","O","ct_9","TTP","NZ","652a"
1262,7385,"tr_3","C",1070,"02","O","ct_9","CDI","IZ","636d"
1267,8300,"tr_6","P",818,"02","O","ct_9","CDI","CG","625b"
1269,2661,"tr_1","C",147,"02","O","ct_9","CDI","KZ","545a"
1279,2683,"tr_4","C",275,"08","O",NA,"CDI","NZ","684a"
1288,26947,"tr_5","C",1633,"51","O","ct_9","CDI","CG","479b"
1304,22019,"tr_6","C",1820,"02","O","ct_8","CDI","QA","526a"
1307,31658,"tr_5","P",1391,"02","O","ct_8","CDI","KZ","467c"
1321,27582,"tr_2","C",1778,"02","O","ct_9","CDI","JA","352a"
1329,22120,"tr_5","C",2175,"02","O","ct_9","CDI","HZ","641a"
1337,4708,NA,"C",384,"02","O",NA,"CDI","QB","434b"
1345,18085,"tr_1","C",1349,"02","O","ct_9","CDI","FZ","632f"
1359,20725,"tr_0","N",3000,"02","O","ct_7","CDI","QB","563a"
1363,36048,"tr_5","C",1795,"77","O","ct_9","CDI","HZ","387b"
1372,12531,"tr_4","P",1447,"02","O","ct_9","CDI","QB","525d"
1374,9957,"tr_0","C",444,"02","O","ct_9","CDI","JA","478a"
1391,20272,"tr_4","C",1516,"59","O","ct_8","CDI","PZ","422c"
1395,25479,"tr_5","C",1455,"77","O","ct_9","CDI","HZ","477b"
1399,36732,"tr_3","C",1736,"91","O","ct_9","CDI","GZ","374d"
1416,21039,"tr_6","C",1820,"60","O","ct_9","CDI","HZ","641b"
1437,26134,"tr_4","C",1751,"02","O","ct_8","CDI","QB","432d"
1438,33578,"tr_1","C",1793,"02","O","ct_9","CDI","GZ","433d"
1440,12993,"tr_1","C",1398,"80","O","ct_9","CDI","GZ","551a"
1448,21305,"tr_3","C",1897,"02","O","ct_8","CDI","QB","628g"
1456,18254,"tr_4","C",1669,"02","O","ct_9","CDD","NZ","676a"
1486,21639,"tr_6","C",1820,"02","O","ct_9","CDI","HZ","652a"
1489,17877,"tr_1","C",1353,"02","O","ct_9","TTP","NZ","676c"
1497,9866,"tr_4","C",780,"59","O","ct_9","CDI","QB","526a"
1499,4395,"tr_3","C",106,"51","O","ct_9","CDI","MA","387e"
1500,14176,"tr_4","C",1819,"02","O","ct_1","CDD","PZ","422e"
1502,32367,"tr_0","C",1517,"02","O","ct_9","CDI","CK","387b"
1511,24129,"tr_5","C",1816,"02","O","ct_9","CDI","CE","674a"
1513,22552,"tr_3","C",1820,"93","O","ct_9","CDI","HZ","534a"
1518,14013,"tr_1","C",1645,"02","O","ct_9","CDI","FZ","543b"
1530,39593,"tr_6","C",1813,"51","O","ct_9","CDI","LZ","376g"
1537,30266,"tr_0","C",1517,"02","O","ct_9","CDI","CK","387b"
1538,21693,"tr_1","P",1397,"60","O","ct_2","CDI","OZ","525a"
1545,18071,"tr_6","C",1820,"59","O","ct_9","CDI","NZ","684a"
1555,15333,"tr_2","C",1820,"75","A","ct_9","APP","CA","683a"
1556,16341,"tr_5","P",1820,"80","O","ct_9","CDI","NZ","534a"
1559,33542,"tr_3","C",1820,"02","O","ct_8","CDI","PZ","341a"
1562,33001,"tr_3","C",1820,"02","O","ct_8","CDI","QB","434a"
1570,26757,"tr_1","C",1820,"51","O","ct_9","CDI","CK","474b"
1575,33532,"tr_6","C",1366,"93","O","ct_9","CDI","HZ","461f"
1581,15786,"tr_1","C",1424,"02","O","ct_9","CDI","SZ","562b"
1584,29690,"tr_3","C",1772,"02","O","ct_9","CDI","HZ","466c"
1590,18022,"tr_2","C",1831,"02","O","ct_9","CDI","HZ","643a"
1593,20353,"tr_1","C",2200,"02","O","ct_6","CDI","HZ","641a"
1594,25640,"tr_3","C",1813,"02","O","ct_8","CDI","MC","434c"
1599,25014,"tr_6","C",1509,"02","O","ct_9","CDI","CL","534a"
1604,14667,"tr_1","P",1264,"02","O","ct_6","CDI","MC","526b"
1613,38568,"tr_6","C",1820,"94","O","ct_9","CDI","FZ","481b"
1624,23345,"tr_5","C",1820,"51","O","ct_3","CDI","QA","632k"
1626,18151,"tr_6","C",1820,"02","O","ct_9","CDI","HZ","652a"
1643,16205,"tr_1","C",1820,"02","O","ct_8","CDI","QB","525d"
1645,4065,"tr_1","C",439,"60","O","ct_9","TTP","NZ","652a"
1657,19589,"tr_4","C",1628,"02","O","ct_9","CDI","NZ","543g"
1658,17711,"tr_5","C",1584,"59","O","ct_9","CDI","HZ","641a"
1677,22028,"tr_3","C",2103,"02","O","ct_9","CDI","QA","526e"
1691,26479,"tr_3","C",1813,"02","O","ct_9","CDI","MA","461e"
1701,21258,"tr_6","C",1820,"02","O","ct_8","CDI","QA","526a"
1709,64393,"tr_1","C",2184,"02","O","ct_9","CDI","MA","373c"
1720,28016,"tr_3","C",1820,"03","O","ct_9","CDI","GZ","462e"
1722,20796,"tr_5","C",2200,"15","O","ct_9","CDI","HZ","641a"
1728,12451,"tr_5","C",1455,"63","O","ct_9","CDI","NZ","534a"
1730,13377,"tr_1","C",843,"03","O","ct_8","TTP","NZ","673c"
1732,23653,"tr_4","C",2182,"03","O","ct_9","CDI","HZ","641a"
1743,3895,NA,"C",122,"03","O",NA,"CDI","OZ","524c"
1755,37328,"tr_3","C",1888,"03","O","ct_8","CDI","QB","431a"
1757,10018,"tr_2","C",918,"03","O","ct_9","CDI","NZ","676c"
1773,21985,"tr_5","C",2200,"03","O","ct_8","CDI","KZ","545d"
1775,6794,"tr_2","C",1283,"03","A","ct_9","APP","CL","682a"
1783,22139,"tr_2","C",1355,"03","O","ct_9","CDI","GZ","554b"
1786,10768,"tr_1","C",1070,"83","O","ct_9","TOA","IZ","561b"
1790,19546,"tr_1","P",1529,"03","O","ct_8","CDI","NZ","543g"
1792,47680,"tr_2","C",1357,"03","O","ct_9","CDI","CA","375a"
1796,23440,"tr_4","C",2182,"03","O","ct_9","CDI","HZ","641a"
1798,16361,"tr_1","C",1370,"03","O","ct_9","CDI","CB","675a"
1808,46541,"tr_1","C",1517,"63","O","ct_9","CDI","FZ","463e"
1823,3019,"tr_1","C",317,"03","O","ct_9","CDD","GZ","551a"
1832,16047,"tr_1","C",1713,"03","O","ct_8","CDI","SZ","435b"
1833,11666,"tr_1","N",1069,"03","O","ct_9","TTP","NZ","681b"
1834,19238,"tr_0","C",1820,"38","O","ct_9","CDI","NZ","534a"
1838,24128,"tr_1","C",1537,"03","O","ct_9","CDI","MA","461e"
1840,13071,"tr_2","C",1181,"03","O","ct_9","CDI","QA","526e"
1843,13391,"tr_4","P",1371,"03","O","ct_2","CDD","OZ","621f"
1844,2440,"tr_1","C",380,"03","O","ct_9","CDI","MA","461c"
1870,33727,"tr_5","C",2200,"03","O","ct_8","CDI","KZ","461f"
1871,26164,"tr_4","C",1894,"03","O","ct_8","CDI","QB","423b"
1887,19019,"tr_3","C",1978,"03","O","ct_9","CDI","QA","526e"
1889,24189,"tr_6","C",1598,"03","O","ct_9","CDI","CH","623g"
1891,35450,"tr_6","C",1729,"03","O","ct_9","CDI","CL","385a"
1895,29561,"tr_6","C",1616,"03","O","ct_9","CDI","CL","477b"
1898,24844,"tr_3","C",1533,"63","O","ct_9","CDI","FZ","671c"
1900,48140,"tr_3","C",1820,"03","O","ct_9","CDI","KZ","373b"
1902,27464,"tr_1","N",3000,"03","O","ct_7","CDI","QB","563a"
1909,30033,"tr_6","C",1821,"03","O","ct_9","CDI","CK","623e"
1910,25784,"tr_1","P",1067,"03","O","ct_9","CDI","GZ","344d"
1912,18280,"tr_4","C",1690,"03","O","ct_8","CDI","QB","526a"
1923,18871,"tr_1","C",1820,"03","O","ct_8","CDI","SZ","564b"
1933,14102,"tr_4","C",1716,"03","O","ct_2","CDD","OZ","525b"
1934,21399,"tr_2","C",1684,"03","O","ct_9","CDI","MA","461e"
1936,1992,NA,"C",158,"13","O",NA,"CDI","JA","551a"
1955,15270,"tr_4","C",1438,"03","O","ct_8","CDI","QB","526a"
1957,34784,"tr_6","C",1826,"63","O","ct_9","CDI","CG","628g"
1964,19606,"tr_3","C",1978,"03","O","ct_9","CDI","QA","526e"
1968,22873,"tr_2","C",1476,"03","O","ct_9","CDI","FZ","682a"
1972,20439,"tr_6","C",1827,"03","O","ct_9","CDI","QA","433d"
1974,10323,"tr_1","C",900,"03","O","ct_9","CDI","GZ","643a"
1983,16174,"tr_1","C",1820,"03","O","ct_9","CDI","FZ","632a"
1984,9344,"tr_1","C",955,"03","O","ct_9","TTP","NZ","671c"
1986,19190,"tr_1","C",1647,"03","O","ct_9","CDI","FZ","542a"
1992,19731,"tr_3","C",1528,"03","O","ct_9","CDI","GZ","554e"
1995,27296,"tr_4","C",1820,"03","O","ct_1","AUT","PZ","341a"
1996,6269,"tr_2","C",836,"03","O","ct_9","CDI","FZ","632e"
2006,17789,"tr_1","P",1959,"03","O","ct_8","CDI","QB","684a"
2030,10675,"tr_0","N",1182,"03","O","ct_7","CDI","QB","563b"
2032,26952,"tr_1","C",1820,"03","O","ct_9","CDI","KZ","467a"
2038,24345,"tr_1","C",2028,"13","O","ct_9","CDI","GZ","636a"
2045,28939,"tr_6","C",1805,"03","O","ct_9","CDI","CI","477b"
2052,18594,"tr_1","C",1846,"03","O","ct_6","CDI","CA","636c"
2053,26004,"tr_6","C",1820,"63","O","ct_9","CDI","JC","388c"
2054,24715,"tr_1","C",2028,"13","O","ct_9","CDI","GZ","636a"
2056,15783,"tr_4","C",1169,"03","O","ct_8","CDI","QB","526a"
2062,12937,"tr_3","P",446,"63","O","ct_9","CDI","GZ","381c"
2067,21967,"tr_4","C",1696,"03","O","ct_9","CDI","CH","484b"
2072,14879,"tr_4","C",1169,"03","O","ct_8","CDI","QB","526a"
2075,15890,"tr_5","C",1659,"03","O","ct_9","CDI","GZ","543f"
2076,35651,"tr_3","C",1888,"03","O","ct_8","CDI","QB","431a"
2080,33732,"tr_1","C",1820,"03","O","ct_9","CDI","KZ","467a"
2094,18772,"tr_3","C",1820,"03","O","ct_8","CDI","QB","526a"
2097,41342,"tr_3","C",1642,"03","O","ct_9","CDI","CA","373c"
2099,4910,"tr_0","C",450,"03","O","ct_9","CDI","NZ","675c"
