uid,Activity_type,Studying,SEX,INSEE,Age_2020,qualification,FAMILY_TYPE,occupation_42,target
133,"TA1-1",FALSE,"Female","01043",36,"DIPL1.5","typem4.1","csp_5_5","X"
134,"TA2-1",FALSE,"Female","01043",65,"DIPL1.3","typem4.4","csp_7_7","X"
137,"TA2-2",TRUE,"Female","01049",16,"DIPL1.2","typem4.1","csp_8_4","X"
139,"TA2-1",FALSE,"Male","01049",85,"DIPL1.1","typem1.1","csp_7_5","B"
141,"TA2-1",FALSE,"Female","01053",66,"DIPL1.4","typem1.2","csp_7_4","X"
142,"TA1-1",FALSE,"Male","01053",62,"DIPL1.1","typem1.1","csp_6_8","X"
143,"TA1-1",FALSE,"Female","01053",35,"DIPL1.5","typem4.1","csp_5_2","X"
150,"TA1-1",FALSE,"Female","01053",35,"DIPL1.7","typem4.1","csp_5_4","X"
152,"TA1-1",FALSE,"Female","01053",24,"DIPL1.7","typem2.0","csp_3_4","B"
154,"TA1-1",FALSE,"Female","01053",31,"DIPL1.8","typem3.2","csp_4_2","X"
159,"TA1-1",FALSE,"Male","01053",31,"DIPL1.3","typem4.1","csp_6_3","B"
161,"TA2-1",FALSE,"Female","01053",63,"DIPL1.4","typem4.4","csp_7_5","B"
166,"TA1-1",FALSE,"Male","01053",45,"DIPL1.3","typem4.2","csp_6_2","X"
171,"TA2-2",TRUE,"Male","01053",22,"DIPL1.4","typem4.3","csp_8_4","B"
172,"TA2-2",TRUE,"Male","01053",18,"DIPL1.2","typem3.2","csp_8_4","B"
174,"TA2-4",FALSE,"Female","01053",43,"DIPL1.7","typem4.2","csp_8_5","B"
175,"TA2-1",FALSE,"Female","01053",70,"DIPL1.3","typem1.2","csp_7_7","X"
176,"TA1-1",FALSE,"Male","01053",55,"DIPL3","typem1.1","csp_4_7","B"
178,"TA1-1",FALSE,"Male","01053",60,"DIPL1.3","typem4.2","csp_2_1","B"
180,"TA1-1",FALSE,"Male","01053",54,"DIPL1.7","typem4.1","csp_3_3","X"
182,"TA2-1",FALSE,"Female","01053",75,"DIPL1","typem4.4","csp_7_7","B"
183,"TA1-2",FALSE,"Male","01053",33,"DIPL2","typem4.1","csp_6_7","B"
187,"TA2-4",FALSE,"Female","01053",57,"DIPL1.2","typem4.2","csp_8_5","B"
189,"TA1-1",FALSE,"Male","01053",50,"DIPL1.3","typem4.1","csp_4_7","B"
191,"TA1-2",FALSE,"Female","01053",41,"DIPL1.6","typem4.2","csp_4_2","X"
193,"TA1-1",FALSE,"Female","01053",58,"DIPL1.4","typem4.1","csp_1_1","X"
194,"TA2-5",FALSE,"Male","01053",51,"DIPL1.3","typem1.1","csp_8_5","B"
195,"TA2-1",FALSE,"Female","01053",73,"DIPL1.1","typem4.4","csp_7_7","X"
196,"TA2-4",FALSE,"Female","01054",55,"DIPL1.2","typem4.4","csp_8_5","X"
197,"TA2-1",FALSE,"Female","01058",84,"DIPL3","typem4.4","csp_7_8","X"
198,"TA1-1",FALSE,"Male","01063",46,"DIPL1.4","typem4.1","csp_3_8","X"
199,"TA1-1",FALSE,"Female","01065",55,"DIPL1.5","typem4.1","csp_5_4","B"
200,"TA2-1",FALSE,"Female","01065",76,"DIPL1.3","typem1.2","csp_7_7","X"
201,"TA1-1",FALSE,"Female","01065",47,"DIPL1.6","typem3.2","csp_5_4","X"
203,"TA2-1",FALSE,"Male","01068",90,"DIPL2","typem4.4","csp_7_2","B"
205,"TA2-1",FALSE,"Male","01069",67,"DIPL1.3","typem4.4","csp_7_2","X"
207,"TA2-1",FALSE,"Female","01069",77,"DIPL1.6","typem4.4","csp_7_5","X"
208,"TA2-1",FALSE,"Female","01071",70,"DIPL1.1","typem4.4","csp_7_8","X"
209,"TA2-1",FALSE,"Female","01071",87,"DIPL1.1","typem1.2","csp_7_1","B"
211,"TA1-1",FALSE,"Male","01071",27,"DIPL1.6","typem1.1","csp_4_6","X"
212,"TA2-1",FALSE,"Male","01071",87,"DIPL1.1","typem1.1","csp_7_7","B"
213,"TA1-2",FALSE,"Female","01071",29,"DIPL1.6","typem4.2","csp_5_5","X"
215,"TA1-1",FALSE,"Female","01072",57,"DIPL1.4","typem4.1","csp_5_4","B"
220,"TA2-1",FALSE,"Male","01074",82,"DIPL1.1","typem4.4","csp_7_2","B"
221,"TA2-1",FALSE,"Female","01075",95,"DIPL1.2","typem1.2","csp_7_2","B"
223,"TA1-2",FALSE,"Male","01075",24,"DIPL1.5","typem3.2","csp_6_7","X"
224,"TA1-1",FALSE,"Male","01075",50,"DIPL1.6","typem4.1","csp_3_8","X"
225,"TA1-2",FALSE,"Female","01076",23,"DIPL1.4","typem1.2","csp_4_3","X"
226,"TA1-1",FALSE,"Female","01078",60,"DIPL3","typem4.3","csp_5_2","B"
231,"TA2-1",TRUE,"Male","01081",79,"DIPL1.1","typem4.4","csp_7_1","B"
232,"TA1-1",FALSE,"Female","01081",58,"DIPL1.3","typem4.1","csp_1_1","X"
233,"TA2-1",FALSE,"Male","01083",67,"DIPL1.3","typem1.1","csp_8_6","B"
235,"TA1-1",FALSE,"Male","01084",43,"DIPL1.5","typem4.2","csp_5_4","B"
239,"TA1-1",FALSE,"Female","01088",39,"DIPL1.4","typem4.1","csp_5_5","X"
240,"TA1-1",FALSE,"Male","01088",35,"DIPL1.4","typem4.1","csp_4_6","B"
241,"TA1-1",FALSE,"Female","01089",60,"DIPL1.2","typem1.2","csp_5_2","X"
242,"TA1-1",FALSE,"Male","01089",63,"DIPL1.4","typem4.1","csp_2_2","B"
246,"TA2-1",FALSE,"Male","01089",78,"DIPL1.3","typem4.4","csp_7_2","B"
247,"TA1-1",FALSE,"Male","01090",43,"DIPL1.4","typem4.4","csp_6_2","B"
248,"TA2-1",FALSE,"Female","01092",73,"DIPL3","typem1.2","csp_7_8","B"
250,"TA1-1",FALSE,"Male","01093",49,"DIPL1.6","typem4.1","csp_4_7","X"
251,"TA2-1",FALSE,"Male","01093",78,"DIPL1.5","typem4.4","csp_7_8","B"
253,"TA1-1",FALSE,"Male","01093",41,"DIPL1.8","typem4.1","csp_3_3","B"
254,"TA2-1",FALSE,"Female","01093",92,"DIPL1","typem1.2","csp_7_8","B"
256,"TA2-2",TRUE,"Female","01095",16,"DIPL1.2","typem4.1","csp_8_4","B"
257,"TA1-1",FALSE,"Male","01096",51,"DIPL1.9","typem4.1","csp_3_8","B"
258,"TA1-1",FALSE,"Female","01099",61,"DIPL1.6","typem4.1","csp_4_5","X"
260,"TA1-1",FALSE,"Male","01102",54,"DIPL1.7","typem1.1","csp_4_3","B"
261,"TA1-1",FALSE,"Male","01103",58,"DIPL1.8","typem4.1","csp_2_3","B"
264,"TA1-1",FALSE,"Female","01103",51,"DIPL1.7","typem4.1","csp_5_2","B"
266,"TA1-1",FALSE,"Male","01105",47,"DIPL2","typem1.1","csp_6_3","B"
267,"TA1-1",FALSE,"Female","01105",50,"DIPL1.6","typem4.1","csp_5_4","B"
271,"TA1-1",FALSE,"Male","01109",76,"DIPL1.2","typem4.1","csp_3_7","X"
272,"TA2-2",TRUE,"Male","01112",16,"DIPL3","typem3.2","csp_8_5","B"
273,"TA1-1",FALSE,"Male","01113",43,"DIPL2","typem4.1","csp_6_2","B"
274,"TA1-1",FALSE,"Male","01114",36,"DIPL1.5","typem4.1","csp_6_4","X"
276,"TA1-1",FALSE,"Male","01118",59,"DIPL1.8","typem4.1","csp_3_8","B"
280,"TA1-1",FALSE,"Female","01130",31,"DIPL1.6","typem4.1","csp_4_3","X"
283,"TA1-1",FALSE,"Female","01134",52,"DIPL3","typem4.3","csp_5_6","B"
286,"TA1-2",FALSE,"Male","01135",48,"DIPL1.3","typem4.3","csp_4_7","B"
289,"TA1-1",FALSE,"Female","01136",26,"DIPL1.5","typem4.4","csp_5_2","B"
292,"TA2-1",FALSE,"Female","01138",74,"DIPL1.1","typem4.4","csp_7_8","B"
298,"TA1-1",FALSE,"Female","01140",37,"DIPL1.6","typem4.1","csp_2_2","X"
302,"TA1-1",FALSE,"Male","01142",38,"DIPL1.4","typem4.1","csp_2_2","X"
307,"TA1-1",TRUE,"Female","01142",24,"DIPL1.2","typem4.1","csp_6_2","B"
309,"TA1-1",FALSE,"Male","01142",34,"DIPL1.4","typem4.1","csp_3_7","B"
310,"TA1-1",FALSE,"Male","01142",36,"DIPL1.6","typem4.1","csp_4_7","X"
313,"TA2-1",FALSE,"Female","01143",68,"DIPL1.3","typem4.4","csp_7_5","X"
316,"TA1-1",FALSE,"Female","01143",51,"DIPL1.7","typem4.1","csp_3_4","B"
317,"TA2-1",FALSE,"Male","01143",72,"DIPL1.3","typem4.4","csp_7_5","B"
319,"TA1-1",FALSE,"Male","01143",26,"DIPL1.3","typem1.1","csp_6_9","X"
320,"TA1-1",FALSE,"Male","01143",42,"DIPL1.5","typem4.1","csp_4_8","B"
321,"TA1-1",FALSE,"Male","01143",53,"DIPL1.5","typem4.1","csp_6_4","X"
323,"TA1-1",TRUE,"Male","01143",21,"DIPL1.6","typem3.1","csp_4_7","B"
324,"TA1-1",FALSE,"Female","01143",66,"DIPL1.8","typem1.2","csp_3_1","B"
325,"TA1-2",FALSE,"Male","01143",33,"DIPL1.3","typem1.1","csp_6_3","B"
327,"TA2-4",FALSE,"Female","01143",31,"DIPL1.6","typem4.2","csp_8_5","X"
331,"TA2-1",FALSE,"Male","01148",81,"DIPL1.1","typem1.1","csp_7_7","B"
334,"TA1-1",FALSE,"Male","01152",40,"DIPL1.5","typem4.1","csp_4_2","B"
336,"TA2-1",FALSE,"Female","01153",68,"DIPL1.8","typem4.4","csp_7_4","X"
337,"TA1-1",FALSE,"Female","01156",54,"DIPL1.6","typem4.1","csp_4_3","B"
338,"TA1-1",FALSE,"Female","01157",59,"DIPL1.7","typem4.1","csp_4_3","B"
339,"TA2-2",TRUE,"Female","01157",19,"DIPL1.6","typem1.2","csp_8_4","B"
340,"TA2-1",FALSE,"Male","01157",66,"DIPL2","typem4.4","csp_7_5","X"
344,"TA2-1",FALSE,"Male","01159",66,"DIPL3","typem4.3","csp_7_8","B"
347,"TA1-1",FALSE,"Male","01160",64,"DIPL1.4","typem1.1","csp_5_2","B"
348,"TA2-1",FALSE,"Female","01160",82,"DIPL1.3","typem4.4","csp_7_8","X"
349,"TA1-1",FALSE,"Male","01160",37,"DIPL1.3","typem4.2","csp_3_3","X"
351,"TA2-1",FALSE,"Female","01160",70,"DIPL1.4","typem1.2","csp_7_4","X"
352,"TA1-1",FALSE,"Male","01160",32,"DIPL1.3","typem4.2","csp_6_3","B"
354,"TA1-2",FALSE,"Female","01160",56,"DIPL1.4","typem4.2","csp_6_2","X"
357,"TA1-1",FALSE,"Male","01160",52,"DIPL1.7","typem4.1","csp_3_7","X"
359,"TA1-1",FALSE,"Male","01160",54,"DIPL1.3","typem3.2","csp_5_2","X"
360,"TA2-5",FALSE,"Female","01160",31,"DIPL1.3","typem3.2","csp_8_5","B"
361,"TA2-5",FALSE,"Male","01160",23,"DIPL1.6","typem3.2","csp_8_5","B"
362,"TA2-1",FALSE,"Female","01160",74,"DIPL1.8","typem4.4","csp_7_7","B"
363,"TA2-5",FALSE,"Male","01160",59,"DIPL1","typem3.2","csp_8_5","X"
364,"TA1-1",FALSE,"Male","01160",43,"DIPL1.7","typem4.1","csp_4_6","X"
365,"TA2-1",FALSE,"Male","01163",74,"DIPL2","typem1.1","csp_7_2","B"
370,"TA2-1",FALSE,"Male","01165",71,"DIPL1.4","typem4.4","csp_7_7","B"
371,"TA2-4",FALSE,"Female","01166",84,"DIPL1","typem4.4","csp_8_6","X"
374,"TA1-1",FALSE,"Female","01171",32,"DIPL1.6","typem4.1","csp_5_4","X"
376,"TA1-1",FALSE,"Female","01173",59,"DIPL2","typem4.1","csp_5_6","B"
377,"TA2-1",FALSE,"Female","01173",70,"DIPL1.2","typem4.4","csp_7_7","B"
378,"TA2-1",FALSE,"Female","01173",82,"DIPL2","typem4.4","csp_7_1","B"
379,"TA1-1",FALSE,"Male","01173",34,"DIPL1.3","typem4.1","csp_6_2","B"
381,"TA1-1",FALSE,"Female","01173",39,"DIPL1.2","typem4.1","csp_4_6","B"
386,"TA1-1",FALSE,"Male","01173",47,"DIPL1.7","typem4.1","csp_4_3","B"
387,"TA1-1",FALSE,"Male","01173",27,"DIPL1.3","typem3.2","csp_2_1","B"
391,"TA1-1",FALSE,"Male","01179",55,"DIPL1.3","typem4.2","csp_4_8","B"
394,"TA2-1",FALSE,"Male","01179",70,"DIPL2","typem4.4","csp_7_1","B"
395,"TA1-2",FALSE,"Female","01180",45,"DIPL1.4","typem3.2","csp_4_6","X"
397,"TA1-1",FALSE,"Female","01181",62,"DIPL1.3","typem1.2","csp_5_2","B"
398,"TA1-1",FALSE,"Female","01183",33,"DIPL3","typem4.1","csp_6_7","X"
399,"TA2-1",FALSE,"Male","01185",75,"DIPL1.3","typem4.4","csp_7_8","B"
400,"TA2-1",FALSE,"Male","01185",65,"DIPL1.4","typem4.3","csp_7_4","B"
402,"TA1-1",FALSE,"Female","01185",61,"DIPL1.4","typem1.2","csp_5_4","X"
403,"TA2-4",FALSE,"Female","01185",79,"DIPL1.2","typem3.2","csp_8_6","B"
406,"TA2-1",FALSE,"Female","01189",66,"DIPL1.3","typem1.2","csp_7_7","B"
409,"TA1-1",FALSE,"Male","01192",36,"DIPL2","typem4.2","csp_6_8","B"
410,"TA2-2",TRUE,"Male","01194",22,"DIPL1.2","typem3.2","csp_8_4","B"
414,"TA2-2",TRUE,"Female","01194",16,"DIPL1.2","typem4.1","csp_8_4","B"
418,"TA1-1",FALSE,"Male","01194",49,"DIPL1.3","typem4.4","csp_4_8","X"
419,"TA1-1",FALSE,"Female","01194",54,"DIPL1.4","typem1.2","csp_4_8","X"
422,"TA2-1",FALSE,"Female","01194",72,"DIPL1.3","typem4.2","csp_7_7","X"
424,"TA2-1",FALSE,"Male","01195",70,"DIPL1.1","typem4.4","csp_7_7","B"
427,"TA1-1",FALSE,"Female","01199",50,"DIPL1.3","typem4.1","csp_5_5","B"
428,"TA2-5",FALSE,"Female","01199",33,"DIPL1.3","typem4.2","csp_8_5","X"
429,"TA1-2",FALSE,"Female","01199",33,"DIPL1.3","typem1.2","csp_5_2","B"
433,"TA2-1",FALSE,"Female","01202",72,"DIPL1.1","typem4.4","csp_7_2","B"
434,"TA1-1",FALSE,"Male","01202",42,"DIPL1.6","typem3.1","csp_5_2","B"
439,"TA1-1",FALSE,"Female","01202",43,"DIPL1.6","typem4.1","csp_4_3","B"
440,"TA2-1",FALSE,"Male","01202",67,"DIPL1.4","typem1.1","csp_7_7","B"
441,"TA2-1",FALSE,"Male","01202",69,"DIPL1.3","typem4.4","csp_7_2","B"
443,"TA2-4",FALSE,"Female","01209",29,"DIPL1.4","typem4.2","csp_8_5","X"
445,"TA1-2",FALSE,"Female","01212",22,"DIPL1.3","typem4.1","csp_8_1","X"
446,"TA2-2",FALSE,"Female","01213",17,"DIPL1.3","typem3.2","csp_8_4","B"
447,"TA1-1",FALSE,"Female","01224",50,"DIPL1.6","typem4.1","csp_5_4","X"
449,"TA1-1",FALSE,"Male","01224",51,"DIPL1.8","typem4.1","csp_4_6","X"
450,"TA1-1",FALSE,"Male","01228",56,"DIPL1.5","typem1.1","csp_6_3","B"
452,"TA1-1",FALSE,"Male","01232",42,"DIPL1.4","typem4.1","csp_6_2","X"
455,"TA1-1",FALSE,"Female","01232",32,"DIPL1.3","typem4.1","csp_6_2","X"
457,"TA2-1",FALSE,"Female","01235",71,"DIPL1.5","typem2.0","csp_7_5","X"
459,"TA1-1",FALSE,"Male","01237",39,"DIPL1.8","typem4.4","csp_3_7","B"
461,"TA1-1",FALSE,"Male","01237",42,"DIPL1.6","typem1.1","csp_3_8","B"
462,"TA1-1",FALSE,"Male","01237",51,"DIPL1.3","typem1.1","csp_6_5","B"
463,"TA2-1",FALSE,"Male","01238",74,"DIPL1.3","typem4.4","csp_7_2","B"
467,"TA1-1",FALSE,"Male","01238",26,"DIPL1.3","typem4.2","csp_6_4","B"
468,"TA2-1",FALSE,"Female","01238",65,"DIPL1.7","typem1.2","csp_7_5","X"
469,"TA1-1",FALSE,"Male","01239",39,"DIPL1.7","typem4.1","csp_3_3","B"
470,"TA2-2",TRUE,"Male","01240",17,"DIPL3","typem4.1","csp_8_5","X"
471,"TA2-5",FALSE,"Male","01241",33,"DIPL1.4","typem4.1","csp_8_5","X"
472,"TA2-1",FALSE,"Female","01241",66,"DIPL2","typem4.4","csp_7_7","X"
473,"TA1-1",FALSE,"Female","01243",60,"DIPL1.4","typem4.3","csp_3_3","X"
474,"TA1-2",FALSE,"Female","01244",46,"DIPL1","typem4.4","csp_6_7","X"
480,"TA1-1",FALSE,"Female","01244",59,"DIPL1.7","typem3.2","csp_4_2","B"
481,"TA1-1",FALSE,"Female","01244",64,"DIPL1.7","typem4.3","csp_3_4","B"
482,"TA1-1",FALSE,"Male","01244",35,"DIPL1.8","typem1.1","csp_3_8","X"
484,"TA1-1",FALSE,"Female","01246",43,"DIPL1.8","typem4.3","csp_3_4","X"
486,"TA1-1",FALSE,"Male","01248",39,"DIPL1.3","typem4.2","csp_1_1","X"
487,"TA1-2",FALSE,"Male","01248",31,"DIPL3","typem4.4","csp_6_7","B"
488,"TA1-2",FALSE,"Male","01248",47,"DIPL1.5","typem3.1","csp_4_3","B"
490,"TA2-1",FALSE,"Female","01249",70,"DIPL1.1","typem1.2","csp_7_5","B"
491,"TA2-5",FALSE,"Female","01249",36,"DIPL2","typem4.1","csp_8_5","X"
492,"TA2-2",TRUE,"Male","01249",20,"DIPL1.4","typem1.1","csp_8_4","B"
495,"TA1-1",FALSE,"Male","01249",60,"DIPL1.8","typem4.1","csp_3_7","X"
496,"TA2-1",FALSE,"Female","01249",62,"DIPL1.5","typem1.2","csp_7_5","X"
497,"TA2-5",FALSE,"Female","01249",53,"DIPL1.7","typem4.1","csp_8_5","B"
498,"TA1-1",FALSE,"Female","01249",63,"DIPL1.7","typem1.2","csp_3_4","B"
500,"TA2-1",FALSE,"Female","01249",79,"DIPL1.6","typem1.2","csp_7_7","X"
501,"TA1-1",FALSE,"Male","01249",58,"DIPL1.3","typem4.1","csp_6_2","B"
505,"TA1-1",FALSE,"Female","01249",44,"DIPL1.6","typem4.1","csp_4_3","B"
506,"TA1-1",FALSE,"Male","01249",56,"DIPL1.8","typem1.1","csp_3_3","X"
509,"TA1-1",FALSE,"Male","01252",43,"DIPL1.3","typem4.1","csp_6_7","X"
510,"TA1-1",FALSE,"Male","01252",45,"DIPL1.5","typem3.2","csp_1_1","X"
511,"TA2-1",FALSE,"Female","01254",67,"DIPL1.4","typem1.2","csp_7_7","B"
512,"TA2-4",FALSE,"Female","01254",33,"DIPL1.4","typem4.2","csp_8_5","X"
513,"TA1-1",FALSE,"Male","01254",50,"DIPL1.1","typem4.1","csp_1_1","X"
514,"TA2-1",FALSE,"Male","01260",87,"DIPL1.1","typem4.1","csp_7_5","B"
515,"TA2-1",FALSE,"Male","01262",78,"DIPL1.3","typem4.4","csp_7_8","B"
518,"TA1-1",FALSE,"Male","01262",48,"DIPL1.3","typem4.1","csp_6_8","X"
519,"TA2-2",TRUE,"Male","01262",21,"DIPL1.5","typem4.1","csp_8_4","B"
524,"TA2-2",TRUE,"Female","01262",20,"DIPL1.4","typem4.1","csp_8_4","B"
525,"TA2-1",FALSE,"Female","01262",68,"DIPL1.1","typem4.4","csp_7_8","B"
528,"TA2-1",FALSE,"Female","01262",68,"DIPL1.1","typem4.4","csp_7_8","B"
529,"TA2-1",FALSE,"Male","01262",67,"DIPL2","typem1.1","csp_7_8","B"
530,"TA2-2",TRUE,"Male","01262",22,"DIPL1.2","typem3.2","csp_8_4","B"
533,"TA1-1",FALSE,"Female","01263",41,"DIPL1.7","typem4.1","csp_3_5","X"
534,"TA2-4",FALSE,"Female","01263",49,"DIPL1.5","typem4.2","csp_8_5","X"
540,"TA1-1",FALSE,"Male","01265",39,"DIPL1.5","typem4.1","csp_5_6","B"
542,"TA2-1",FALSE,"Female","01265",91,"DIPL1.4","typem1.2","csp_7_8","X"
543,"TA1-1",FALSE,"Female","01266",53,"DIPL2","typem4.1","csp_5_2","X"
550,"TA2-1",FALSE,"Female","01266",74,"DIPL1.6","typem4.4","csp_7_7","B"
553,"TA2-1",FALSE,"Female","01269",69,"DIPL1.6","typem4.4","csp_7_5","B"
555,"TA1-1",FALSE,"Female","01269",62,"DIPL1.5","typem1.2","csp_4_6","X"
561,"TA1-1",FALSE,"Female","01269",53,"DIPL1.4","typem4.1","csp_5_4","B"
564,"TA1-1",FALSE,"Female","01272",35,"DIPL1.4","typem1.2","csp_6_7","B"
565,"TA1-1",FALSE,"Female","01275",45,"DIPL1.7","typem4.1","csp_5_4","X"
566,"TA1-1",FALSE,"Male","01275",39,"DIPL1.8","typem4.1","csp_4_2","B"
567,"TA1-1",FALSE,"Male","01275",35,"DIPL1.6","typem4.1","csp_4_5","B"
568,"TA1-1",FALSE,"Male","01276",22,"DIPL1.2","typem3.1","csp_6_3","X"
569,"TA2-5",FALSE,"Male","01276",34,"DIPL1.3","typem4.3","csp_8_5","X"
570,"TA2-1",FALSE,"Male","01280",62,"DIPL1.5","typem4.3","csp_7_5","B"
