uid,Emp_type
418,"cond|1|6"
419,"cond|1|6"
427,"cond|1|5"
434,"cond|1|6"
439,"cond|1|6"
447,"cond|1|6"
449,"cond|1|6"
450,"cond|1|6"
452,"cond|1|2"
455,"cond|1|6"
459,"cond|1|6"
461,"cond|1|6"
462,"cond|1|2"
467,"cond|1|6"
469,"cond|1|6"
473,"cond|1|6"
480,"cond|1|6"
481,"cond|1|6"
482,"cond|1|6"
484,"cond|1|6"
486,"cond|2|1"
495,"cond|1|6"
498,"cond|1|6"
501,"cond|1|6"
505,"cond|1|6"
506,"cond|1|6"
509,"cond|1|6"
510,"cond|2|1"
513,"cond|2|1"
518,"cond|1|6"
533,"cond|1|6"
540,"cond|1|6"
543,"cond|1|6"
555,"cond|1|6"
561,"cond|1|6"
564,"cond|1|2"
565,"cond|1|6"
566,"cond|1|6"
567,"cond|1|6"
568,"cond|1|6"
571,"cond|1|6"
572,"cond|1|1"
578,"cond|1|6"
581,"cond|1|6"
585,"cond|1|6"
588,"cond|2|2"
589,"cond|2|2"
590,"cond|1|6"
592,"cond|1|6"
597,"cond|1|6"
600,"cond|1|6"
602,"cond|2|2"
608,"cond|1|6"
609,"cond|1|6"
611,"cond|1|6"
620,"cond|1|6"
623,"cond|1|6"
628,"cond|1|6"
629,"cond|1|6"
631,"cond|1|6"
632,"cond|1|6"
645,"cond|1|6"
650,"cond|1|6"
652,"cond|1|6"
653,"cond|1|6"
657,"cond|1|6"
658,"cond|1|6"
663,"cond|1|6"
668,"cond|1|6"
669,"cond|1|6"
670,"cond|1|6"
676,"cond|2|2"
686,"cond|1|6"
687,"cond|1|6"
688,"cond|1|6"
701,"cond|1|6"
702,"cond|1|6"
703,"cond|1|3"
710,"cond|1|6"
712,"cond|1|6"
713,"cond|1|6"
714,"cond|1|6"
715,"cond|2|2"
721,"cond|1|6"
728,"cond|1|6"
731,"cond|1|6"
733,"cond|1|6"
736,"cond|1|6"
737,"cond|1|6"
739,"cond|1|6"
744,"cond|1|6"
746,"cond|1|6"
750,"cond|2|1"
761,"cond|1|6"
763,"cond|1|2"
765,"cond|1|1"
766,"cond|1|6"
769,"cond|2|1"
770,"cond|1|6"
779,"cond|1|5"
781,"cond|1|6"
788,"cond|1|6"
790,"cond|1|1"
797,"cond|1|6"
800,"cond|1|6"
804,"cond|1|6"
826,"cond|2|1"
836,"cond|1|2"
841,"cond|1|6"
854,"cond|1|6"
855,"cond|1|6"
857,"cond|1|6"
864,"cond|1|6"
868,"cond|2|1"
875,"cond|1|6"
877,"cond|1|6"
878,"cond|1|6"
881,"cond|1|6"
885,"cond|1|5"
887,"cond|1|6"
891,"cond|2|2"
897,"cond|1|6"
898,"cond|1|6"
921,"cond|1|6"
925,"cond|1|6"
938,"cond|1|6"
942,"cond|1|6"
944,"cond|1|6"
945,"cond|1|6"
947,"cond|2|2"
949,"cond|1|5"
952,"cond|1|6"
958,"cond|1|6"
962,"cond|1|6"
975,"cond|1|6"
983,"cond|2|2"
984,"cond|1|6"
989,"cond|1|6"
993,"cond|1|6"
998,"cond|1|6"
1006,"cond|1|6"
1011,"cond|1|6"
1012,"cond|1|5"
1013,"cond|1|6"
1020,"cond|1|5"
1024,"cond|2|1"
1030,"cond|1|6"
1040,"cond|1|6"
1051,"cond|1|6"
1054,"cond|1|6"
1065,"cond|2|1"
1066,"cond|1|6"
1081,"cond|1|6"
1093,"cond|2|1"
1100,"cond|2|1"
1106,"cond|1|6"
1111,"cond|1|6"
1113,"cond|2|1"
1119,"cond|1|6"
1129,"cond|1|6"
1136,"cond|2|2"
1148,"cond|1|6"
1161,"cond|1|6"
1165,"cond|1|6"
1168,"cond|1|6"
1170,"cond|1|6"
1172,"cond|1|6"
1175,"cond|1|6"
1176,"cond|2|2"
1177,"cond|1|6"
1181,"cond|1|6"
1182,"cond|1|6"
1184,"cond|1|6"
1186,"cond|1|6"
1187,"cond|1|6"
1189,"cond|2|1"
1190,"cond|1|6"
1194,"cond|1|6"
1198,"cond|1|6"
1204,"cond|1|6"
1209,"cond|1|2"
1218,"cond|1|6"
1221,"cond|1|6"
1222,"cond|1|6"
1226,"cond|1|6"
1228,"cond|1|6"
1232,"cond|2|3"
1238,"cond|1|6"
1245,"cond|1|6"
1252,"cond|1|6"
1256,"cond|1|6"
1258,"cond|1|6"
1259,"cond|2|1"
1261,"cond|1|2"
1262,"cond|1|6"
1267,"cond|1|6"
1269,"cond|1|6"
1277,"cond|2|1"
1279,"cond|1|6"
1280,"cond|1|6"
1288,"cond|1|6"
1289,"cond|1|6"
1304,"cond|1|6"
1305,"cond|2|1"
1307,"cond|1|6"
1321,"cond|1|6"
1329,"cond|1|6"
1337,"cond|1|6"
1340,"cond|2|2"
1342,"cond|1|6"
1345,"cond|1|6"
1359,"cond|1|6"
1363,"cond|1|6"
1372,"cond|1|6"
1374,"cond|1|6"
1388,"cond|2|1"
1391,"cond|1|6"
1395,"cond|1|6"
1399,"cond|1|6"
1416,"cond|1|6"
1428,"cond|1|6"
1431,"cond|1|4"
1437,"cond|1|6"
1438,"cond|1|6"
1440,"cond|1|6"
1442,"cond|1|6"
1448,"cond|1|6"
1454,"cond|1|6"
1456,"cond|1|5"
1459,"cond|1|1"
1486,"cond|1|6"
1489,"cond|1|2"
1490,"cond|1|6"
1497,"cond|1|6"
1499,"cond|1|6"
1500,"cond|1|5"
1502,"cond|1|6"
1511,"cond|1|6"
1513,"cond|1|6"
1518,"cond|1|6"
1520,"cond|1|5"
1530,"cond|1|6"
1537,"cond|1|6"
1538,"cond|1|6"
1543,"cond|1|6"
1545,"cond|1|6"
1555,"cond|1|1"
1556,"cond|1|6"
1558,"cond|2|2"
1559,"cond|1|6"
1562,"cond|1|6"
1568,"cond|1|6"
1570,"cond|1|6"
1575,"cond|1|6"
1576,"cond|1|6"
1578,"cond|2|2"
1581,"cond|1|6"
1584,"cond|1|6"
1589,"cond|2|2"
1590,"cond|1|6"
1593,"cond|1|6"
1594,"cond|1|6"
1595,"cond|2|1"
1596,"cond|1|6"
1598,"cond|1|1"
1599,"cond|1|6"
1600,"cond|1|6"
1604,"cond|1|6"
1613,"cond|1|6"
1615,"cond|2|1"
1622,"cond|2|2"
1624,"cond|1|6"
1626,"cond|1|6"
1643,"cond|1|6"
1645,"cond|1|2"
1657,"cond|1|6"
1658,"cond|1|6"
1668,"cond|2|1"
1675,"cond|1|6"
1677,"cond|1|6"
1680,"cond|2|1"
1691,"cond|1|6"
1701,"cond|1|6"
1709,"cond|1|6"
1714,"cond|2|1"
1718,"cond|2|2"
1720,"cond|1|6"
1722,"cond|1|6"
1728,"cond|1|6"
1730,"cond|1|2"
1732,"cond|1|6"
1743,"cond|1|6"
1755,"cond|1|6"
1757,"cond|1|6"
1773,"cond|1|6"
1775,"cond|1|1"
1783,"cond|1|6"
1786,"cond|1|5"
1790,"cond|1|6"
1792,"cond|1|6"
1796,"cond|1|6"
1798,"cond|1|6"
1803,"cond|1|6"
1808,"cond|1|6"
1811,"cond|1|6"
1823,"cond|1|2"
1832,"cond|1|6"
1833,"cond|1|5"
1834,"cond|1|6"
1838,"cond|1|6"
1840,"cond|1|6"
1843,"cond|1|2"
1844,"cond|1|6"
1850,"cond|1|6"
1853,"cond|2|1"
1860,"cond|2|2"
1865,"cond|2|2"
1870,"cond|1|6"
1871,"cond|1|6"
1872,"cond|1|6"
1876,"cond|1|6"
1885,"cond|1|6"
1887,"cond|1|6"
1889,"cond|1|6"
1891,"cond|1|6"
1895,"cond|1|6"
1896,"cond|2|1"
1898,"cond|1|6"
1900,"cond|1|6"
1902,"cond|1|6"
1908,"cond|1|5"
1909,"cond|1|6"
1910,"cond|1|6"
1912,"cond|1|6"
1919,"cond|1|6"
1923,"cond|1|6"
1933,"cond|1|5"
1934,"cond|1|6"
1936,"cond|1|6"
1944,"cond|1|6"
1953,"cond|2|2"
1955,"cond|1|6"
1957,"cond|1|6"
1964,"cond|1|6"
1968,"cond|1|6"
1972,"cond|1|6"
1974,"cond|1|6"
1983,"cond|1|6"
1984,"cond|1|2"
1986,"cond|1|6"
1992,"cond|1|6"
1993,"cond|2|2"
1995,"cond|1|5"
1996,"cond|1|6"
1998,"cond|2|1"
2006,"cond|1|6"
2030,"cond|1|6"
2032,"cond|1|6"
2038,"cond|1|6"
2045,"cond|1|6"
2052,"cond|1|6"
2053,"cond|1|6"
2054,"cond|1|6"
2056,"cond|1|6"
2062,"cond|1|6"
2067,"cond|1|6"
2071,"cond|2|1"
2072,"cond|1|6"
2075,"cond|1|6"
2076,"cond|1|6"
2080,"cond|1|6"
2084,"cond|1|5"
2088,"cond|2|2"
2094,"cond|1|6"
2097,"cond|1|6"
2099,"cond|1|6"
2100,"cond|1|6"
2103,"cond|2|1"
2113,"cond|1|6"
2114,"cond|1|6"
2116,"cond|1|6"
2117,"cond|1|6"
2120,"cond|2|1"
2124,"cond|1|6"
2128,"cond|1|6"
2137,"cond|1|6"
2140,"cond|1|6"
2146,"cond|2|1"
2147,"cond|2|1"
2150,"cond|1|6"
2154,"cond|1|2"
2156,"cond|1|6"
2159,"cond|1|6"
2164,"cond|1|6"
2167,"cond|1|5"
2168,"cond|1|6"
2172,"cond|1|6"
2178,"cond|1|5"
2186,"cond|1|6"
2191,"cond|1|6"
2197,"cond|1|6"
2203,"cond|1|6"
2206,"cond|1|6"
2208,"cond|1|6"
2216,"cond|2|2"
2220,"cond|2|2"
2224,"cond|2|1"
2230,"cond|1|6"
2231,"cond|1|6"
2232,"cond|1|6"
2243,"cond|1|6"
2249,"cond|2|1"
2254,"cond|1|3"
2256,"cond|1|4"
2267,"cond|1|6"
2272,"cond|1|6"
2281,"cond|1|6"
2289,"cond|1|6"
2291,"cond|1|6"
2294,"cond|2|1"
2297,"cond|1|6"
2302,"cond|2|2"
2310,"cond|1|1"
2319,"cond|2|1"
2322,"cond|1|6"
2326,"cond|1|6"
2327,"cond|2|2"
2330,"cond|1|6"
2331,"cond|1|6"
2335,"cond|1|5"
2336,"cond|1|6"
2349,"cond|1|6"
2363,"cond|1|6"
2368,"cond|1|6"
2370,"cond|1|6"
2373,"cond|2|2"
2378,"cond|1|6"
2379,"cond|1|6"
2384,"cond|1|6"
2387,"cond|1|6"
2389,"cond|1|6"
2391,"cond|1|6"
2394,"cond|1|6"
2404,"cond|2|2"
2405,"cond|1|6"
2406,"cond|1|6"
2413,"cond|1|6"
2415,"cond|1|6"
2424,"cond|1|6"
2427,"cond|1|6"
2432,"cond|1|6"
2437,"cond|1|6"
2438,"cond|1|6"
2442,"cond|1|6"
2445,"cond|1|6"
2451,"cond|2|1"
2452,"cond|1|6"
2456,"cond|2|1"
2457,"cond|1|6"
2458,"cond|1|6"
2459,"cond|1|6"
2460,"cond|1|6"
2465,"cond|1|6"
2475,"cond|2|2"
2477,"cond|1|3"
2481,"cond|1|6"
2484,"cond|1|6"
2488,"cond|1|6"
2490,"cond|1|1"
2491,"cond|1|6"
2498,"cond|1|6"
2501,"cond|1|6"
2505,"cond|1|6"
2511,"cond|1|6"
2512,"cond|1|6"
2520,"cond|1|6"
2524,"cond|1|6"
2526,"cond|1|6"
2528,"cond|1|5"
2534,"cond|1|5"
2538,"cond|2|1"
2539,"cond|1|6"
2540,"cond|1|6"
2541,"cond|1|6"
2545,"cond|1|6"
2546,"cond|1|6"
2549,"cond|1|6"
2550,"cond|1|6"
2555,"cond|2|1"
2557,"cond|1|6"
2559,"cond|1|6"
2560,"cond|1|1"
2565,"cond|1|6"
2566,"cond|2|1"
2570,"cond|1|6"
2572,"cond|1|6"
2574,"cond|1|6"
2592,"cond|1|6"
2598,"cond|1|6"
2599,"cond|1|5"
2610,"cond|1|2"
2619,"cond|1|6"
2620,"cond|1|6"
2621,"cond|1|6"
2623,"cond|1|6"
2646,"cond|2|1"
2659,"cond|1|6"
2661,"cond|2|1"
2667,"cond|1|6"
2670,"cond|1|6"
2674,"cond|1|6"
2675,"cond|1|6"
2677,"cond|1|6"
2681,"cond|1|6"
2683,"cond|1|6"
2685,"cond|1|6"
2690,"cond|1|5"
2691,"cond|1|6"
2706,"cond|1|6"
2709,"cond|2|1"
2723,"cond|1|6"
2727,"cond|1|6"
2735,"cond|2|1"
2742,"cond|1|6"
2744,"cond|1|6"
2745,"cond|1|5"
2746,"cond|1|5"
2749,"cond|1|6"
2752,"cond|1|6"
2753,"cond|1|4"
2755,"cond|1|5"
2760,"cond|1|6"
2766,"cond|1|1"
2767,"cond|1|6"
2773,"cond|1|5"
2775,"cond|1|6"
2778,"cond|1|6"
2790,"cond|1|6"
2797,"cond|1|6"
2798,"cond|1|6"
2801,"cond|1|6"
2802,"cond|1|6"
2804,"cond|1|6"
2807,"cond|1|6"
2818,"cond|2|1"
2822,"cond|1|5"
2824,"cond|2|1"
2827,"cond|1|6"
2829,"cond|1|6"
2834,"cond|1|6"
2836,"cond|1|6"
2841,"cond|1|5"
2845,"cond|1|6"
2850,"cond|2|2"
2851,"cond|2|1"
2855,"cond|1|6"
2860,"cond|1|6"
2862,"cond|1|6"
2864,"cond|1|6"
2869,"cond|1|5"
2876,"cond|1|6"
2879,"cond|1|6"
2880,"cond|1|6"
2881,"cond|1|5"
2890,"cond|1|5"
2896,"cond|1|6"
2897,"cond|1|6"
2900,"cond|1|6"
2907,"cond|1|6"
2908,"cond|1|6"
2909,"cond|1|6"
2913,"cond|1|6"
2920,"cond|1|6"
2930,"cond|1|5"
2931,"cond|1|6"
2933,"cond|1|6"
2936,"cond|2|1"
2938,"cond|1|6"
2943,"cond|1|2"
2944,"cond|2|1"
2945,"cond|1|6"
2949,"cond|2|1"
2959,"cond|1|2"
2960,"cond|1|6"
2961,"cond|2|2"
2962,"cond|1|6"
2963,"cond|1|6"
2965,"cond|1|6"
2966,"cond|2|2"
2977,"cond|1|6"
2984,"cond|1|6"
2992,"cond|1|6"
3002,"cond|1|6"
3003,"cond|1|6"
3005,"cond|2|1"
3018,"cond|1|6"
3020,"cond|1|6"
3024,"cond|1|5"
3030,"cond|2|1"
3038,"cond|2|1"
3041,"cond|1|6"
3045,"cond|1|6"
3049,"cond|1|6"
3058,"cond|1|6"
3065,"cond|1|6"
3066,"cond|1|5"
3071,"cond|2|2"
3074,"cond|2|1"
3075,"cond|1|6"
3077,"cond|1|6"
3078,"cond|1|5"
3090,"cond|1|5"
3093,"cond|1|6"
3098,"cond|1|6"
3100,"cond|1|6"
3102,"cond|1|6"
3105,"cond|1|1"
3114,"cond|1|1"
3118,"cond|1|1"
3119,"cond|2|1"
3123,"cond|1|5"
3128,"cond|1|6"
3135,"cond|2|1"
3139,"cond|1|6"
3144,"cond|1|6"
3147,"cond|2|2"
3155,"cond|1|5"
3163,"cond|1|6"
3168,"cond|2|1"
3169,"cond|1|6"
3174,"cond|2|1"
3180,"cond|1|6"
3183,"cond|1|6"
3190,"cond|1|6"
3191,"cond|1|6"
3198,"cond|1|1"
3202,"cond|1|6"
3203,"cond|1|6"
3214,"cond|1|1"
3219,"cond|1|5"
3221,"cond|1|6"
3227,"cond|1|6"
3234,"cond|2|2"
3240,"cond|1|2"
3243,"cond|1|1"
3245,"cond|2|1"
3248,"cond|1|6"
3252,"cond|1|6"
3262,"cond|1|6"
3276,"cond|1|6"
3283,"cond|1|6"
3288,"cond|2|1"
3296,"cond|1|6"
3308,"cond|1|5"
3314,"cond|1|6"
3317,"cond|1|6"
3318,"cond|1|5"
3321,"cond|1|6"
3325,"cond|2|1"
3331,"cond|2|2"
3335,"cond|1|6"
3336,"cond|1|6"
3340,"cond|1|6"
3342,"cond|1|5"
3348,"cond|1|6"
3352,"cond|1|6"
3355,"cond|1|6"
3356,"cond|1|6"
3360,"cond|1|6"
3369,"cond|1|6"
3374,"cond|1|6"
3380,"cond|2|2"
3385,"cond|2|1"
3391,"cond|2|2"
3392,"cond|2|1"
3399,"cond|1|6"
3409,"cond|1|6"
3414,"cond|1|6"
3422,"cond|1|6"
3423,"cond|1|6"
3425,"cond|1|6"
3435,"cond|1|6"
3437,"cond|1|6"
3439,"cond|1|6"
3440,"cond|1|6"
3441,"cond|2|1"
3443,"cond|1|6"
3449,"cond|1|5"
3453,"cond|1|6"
3477,"cond|1|6"
3478,"cond|1|6"
3485,"cond|1|6"
3491,"cond|1|6"
3492,"cond|1|6"
3493,"cond|1|1"
3494,"cond|1|6"
3496,"cond|1|6"
3501,"cond|2|1"
3502,"cond|1|6"
3503,"cond|1|6"
3504,"cond|1|6"
3508,"cond|1|6"
3511,"cond|1|6"
3516,"cond|1|6"
3519,"cond|1|6"
3535,"cond|1|6"
3542,"cond|1|5"
3545,"cond|1|6"
3547,"cond|1|6"
3548,"cond|1|6"
3550,"cond|2|1"
3551,"cond|1|5"
3552,"cond|1|6"
3558,"cond|1|6"
3563,"cond|1|6"
3564,"cond|2|1"
3570,"cond|1|6"
3571,"cond|1|6"
3573,"cond|2|2"
3600,"cond|1|6"
3601,"cond|1|6"
3614,"cond|1|6"
3615,"cond|1|6"
3619,"cond|2|2"
3623,"cond|2|1"
3629,"cond|1|6"
3632,"cond|1|6"
3634,"cond|1|5"
3638,"cond|1|6"
3640,"cond|1|6"
3644,"cond|1|6"
3649,"cond|1|6"
3650,"cond|1|6"
3655,"cond|1|6"
3659,"cond|1|6"
3661,"cond|1|6"
3664,"cond|1|6"
3665,"cond|1|6"
3670,"cond|1|6"
3671,"cond|1|6"
3674,"cond|1|6"
3679,"cond|1|6"
3681,"cond|1|6"
3683,"cond|1|6"
3685,"cond|1|6"
3686,"cond|1|6"
3689,"cond|1|6"
3691,"cond|1|6"
3693,"cond|1|6"
3694,"cond|1|6"
3696,"cond|1|6"
3697,"cond|2|1"
3698,"cond|1|6"
3701,"cond|1|6"
3704,"cond|1|6"
3709,"cond|1|5"
3720,"cond|1|5"
3721,"cond|1|6"
3722,"cond|1|6"
3733,"cond|2|1"
3739,"cond|1|6"
3740,"cond|2|1"
3742,"cond|1|5"
3746,"cond|1|6"
3756,"cond|1|6"
3760,"cond|1|6"
3761,"cond|1|6"
3763,"cond|1|5"
3765,"cond|1|6"
3766,"cond|2|1"
3767,"cond|2|1"
3768,"cond|1|6"
3770,"cond|1|6"
3771,"cond|1|6"
3778,"cond|1|5"
3779,"cond|1|6"
3785,"cond|1|6"
3795,"cond|1|6"
3812,"cond|1|6"
3813,"cond|1|6"
3815,"cond|1|6"
3823,"cond|1|6"
3825,"cond|2|1"
3828,"cond|1|6"
3834,"cond|2|1"
3841,"cond|1|6"
3849,"cond|1|6"
3855,"cond|1|6"
3859,"cond|1|6"
3864,"cond|1|6"
3871,"cond|1|6"
3876,"cond|1|6"
3888,"cond|1|6"
3890,"cond|1|5"
3891,"cond|2|2"
3892,"cond|2|2"
3895,"cond|2|1"
3902,"cond|1|6"
3904,"cond|1|6"
3915,"cond|1|6"
3916,"cond|1|6"
3918,"cond|1|5"
3920,"cond|1|6"
3923,"cond|1|1"
3924,"cond|1|5"
3927,"cond|1|6"
3931,"cond|1|6"
3935,"cond|1|6"
3943,"cond|1|6"
3945,"cond|1|6"
3962,"cond|1|6"
3965,"cond|1|6"
3966,"cond|1|6"
3969,"cond|1|2"
3978,"cond|1|6"
3981,"cond|1|6"
3982,"cond|1|5"
3984,"cond|1|6"
4000,"cond|1|6"
4001,"cond|1|6"
4005,"cond|1|6"
4006,"cond|1|6"
4013,"cond|1|6"
4022,"cond|1|6"
4028,"cond|1|6"
4031,"cond|1|6"
4032,"cond|1|6"
4039,"cond|1|6"
4044,"cond|1|6"
4049,"cond|1|6"
4051,"cond|1|1"
4052,"cond|1|6"
4056,"cond|1|6"
4057,"cond|1|6"
4058,"cond|1|6"
4060,"cond|1|6"
4072,"cond|1|6"
4074,"cond|1|6"
4077,"cond|1|6"
4085,"cond|1|6"
4086,"cond|1|6"
4087,"cond|1|6"
4088,"cond|1|6"
4089,"cond|1|6"
4090,"cond|1|6"
4092,"cond|1|6"
4094,"cond|1|6"
4101,"cond|1|6"
4102,"cond|1|6"
4112,"cond|1|6"
4118,"cond|1|4"
4120,"cond|2|1"
4122,"cond|1|6"
4125,"cond|1|6"
4127,"cond|1|5"
4130,"cond|1|6"
4133,"cond|1|6"
4134,"cond|1|6"
4138,"cond|1|4"
4139,"cond|1|6"
4141,"cond|1|6"
4144,"cond|1|6"
4149,"cond|1|6"
4152,"cond|1|5"
4157,"cond|1|6"
4172,"cond|1|6"
4173,"cond|1|6"
4177,"cond|1|6"
4178,"cond|1|6"
4182,"cond|1|6"
4184,"cond|1|6"
4185,"cond|1|6"
4188,"cond|1|6"
4195,"cond|1|6"
4197,"cond|1|6"
4202,"cond|1|6"
4210,"cond|2|2"
4222,"cond|2|1"
4224,"cond|2|1"
4229,"cond|1|6"
4246,"cond|1|6"
4250,"cond|1|6"
4251,"cond|2|1"
4252,"cond|1|6"
4264,"cond|1|5"
4271,"cond|1|5"
4272,"cond|1|6"
4274,"cond|2|2"
4275,"cond|1|6"
4277,"cond|1|6"
4280,"cond|1|6"
4282,"cond|2|2"
4292,"cond|2|2"
4300,"cond|1|6"
4304,"cond|1|6"
4308,"cond|1|6"
4310,"cond|1|6"
4313,"cond|1|6"
4316,"cond|1|6"
4322,"cond|1|6"
4324,"cond|1|5"
4325,"cond|1|6"
4326,"cond|1|6"
4329,"cond|1|6"
4332,"cond|1|6"
4337,"cond|1|6"
4345,"cond|1|5"
4347,"cond|2|1"
4353,"cond|1|6"
4362,"cond|2|1"
4363,"cond|1|6"
4364,"cond|1|6"
4368,"cond|2|1"
4369,"cond|1|6"
4376,"cond|2|1"
4377,"cond|1|6"
4378,"cond|1|6"
4382,"cond|1|6"
4383,"cond|1|6"
4384,"cond|1|6"
4386,"cond|1|6"
4387,"cond|2|2"
4388,"cond|1|6"
4391,"cond|1|6"
4395,"cond|1|6"
4401,"cond|1|6"
4403,"cond|1|6"
4405,"cond|1|5"
4410,"cond|1|6"
4420,"cond|1|6"
4432,"cond|1|6"
4433,"cond|2|2"
4437,"cond|1|6"
4439,"cond|1|6"
4440,"cond|1|6"
4443,"cond|1|6"
4456,"cond|1|5"
4457,"cond|1|6"
4461,"cond|1|6"
4462,"cond|1|6"
4464,"cond|1|6"
4465,"cond|1|6"
4466,"cond|1|6"
4469,"cond|1|6"
4473,"cond|1|6"
4474,"cond|1|6"
4475,"cond|1|6"
4487,"cond|1|6"
4492,"cond|1|6"
4493,"cond|1|1"
4494,"cond|1|6"
4498,"cond|1|6"
4501,"cond|1|6"
4502,"cond|1|6"
4503,"cond|1|6"
4504,"cond|2|2"
4508,"cond|1|6"
4522,"cond|2|2"
4523,"cond|1|6"
4526,"cond|1|6"
4534,"cond|1|5"
4540,"cond|1|6"
4541,"cond|1|6"
4543,"cond|1|6"
4547,"cond|1|6"
4554,"cond|1|5"
4563,"cond|1|6"
4564,"cond|1|6"
4565,"cond|2|2"
4566,"cond|1|6"
4568,"cond|1|6"
4569,"cond|1|6"
4574,"cond|1|6"
4584,"cond|1|6"
4588,"cond|1|6"
4597,"cond|1|6"
4602,"cond|1|6"
4606,"cond|1|6"
4610,"cond|1|2"
4615,"cond|1|6"
4625,"cond|2|2"
4633,"cond|1|6"
4634,"cond|1|6"
4636,"cond|1|6"
4637,"cond|1|6"
4641,"cond|2|1"
4642,"cond|1|6"
4651,"cond|2|3"
4652,"cond|1|6"
4655,"cond|1|6"
4660,"cond|1|6"
4667,"cond|1|6"
4669,"cond|1|6"
4675,"cond|1|6"
4678,"cond|1|6"
4681,"cond|1|6"
4684,"cond|2|1"
4687,"cond|1|6"
4689,"cond|1|6"
4690,"cond|2|1"
4693,"cond|1|6"
4696,"cond|1|6"
4697,"cond|1|6"
4700,"cond|1|6"
4706,"cond|2|1"
4707,"cond|2|1"
4711,"cond|1|6"
4714,"cond|1|6"
4720,"cond|1|6"
4721,"cond|1|6"
4728,"cond|2|2"
4731,"cond|1|6"
4732,"cond|1|6"
4734,"cond|1|6"
4742,"cond|1|1"
4748,"cond|1|5"
4751,"cond|1|6"
4752,"cond|1|2"
4753,"cond|1|5"
4765,"cond|2|1"
4767,"cond|2|1"
4768,"cond|1|6"
4773,"cond|1|6"
4778,"cond|1|6"
4783,"cond|1|5"
4793,"cond|1|6"
4805,"cond|1|5"
4807,"cond|1|6"
4810,"cond|1|6"
4820,"cond|1|6"
4823,"cond|1|6"
4827,"cond|2|2"
4828,"cond|1|6"
4834,"cond|2|2"
4836,"cond|2|1"
4839,"cond|2|1"
4841,"cond|1|6"
4843,"cond|1|6"
4847,"cond|1|6"
4852,"cond|2|2"
4868,"cond|1|5"
4869,"cond|1|6"
4873,"cond|1|6"
4875,"cond|1|6"
4877,"cond|1|6"
4881,"cond|1|6"
4883,"cond|1|6"
4885,"cond|1|6"
4892,"cond|1|6"
4893,"cond|1|6"
4901,"cond|1|2"
4902,"cond|1|6"
4909,"cond|1|6"
4914,"cond|1|5"
4919,"cond|1|6"
4924,"cond|1|6"
4926,"cond|1|6"
4934,"cond|1|6"
4936,"cond|1|6"
4937,"cond|1|6"
4942,"cond|1|6"
4943,"cond|1|6"
4944,"cond|2|2"
4945,"cond|1|6"
4947,"cond|1|6"
4952,"cond|2|2"
4953,"cond|1|6"
4954,"cond|1|6"
4965,"cond|1|6"
4967,"cond|2|2"
4968,"cond|1|6"
4970,"cond|2|1"
4972,"cond|1|6"
4973,"cond|1|6"
4976,"cond|1|5"
