uid,ANNUITY
2046,12788
2125,12468
2138,19293
2141,26747
2174,22200
2176,11347
2181,13444
2189,26590
2199,14360
2214,23325
2225,25363
2235,10861
2250,10011
2252,40291
2269,13883
2295,21394
2298,16296
2304,20175
2308,13006
2312,20067
2313,8881
2315,25833
2320,15214
2321,39302
2340,16225
2342,14175
2350,12009
2360,12718
2365,15570
2375,26029
2382,17511
2397,14569
2412,14333
2417,25712
2422,16176
2425,15164
2434,35341
2439,13612
2443,26148
2446,22728
2463,12252
2467,15751
2471,16269
2472,24786
2473,20456
2479,16127
2483,45904
2485,31577
2497,14323
2510,17395
2513,18234
2515,10068
2519,15203
2521,31651
2527,14325
2535,14074
2548,32361
2564,28193
2578,14133
2579,10861
2602,13466
2608,32619
2609,13722
2655,11172
2657,30734
2663,18135
2686,19099
2692,12966
2708,17034
2714,31823
2719,32618
2721,22562
2722,13520
2734,25856
2736,30364
2739,34620
2741,15762
2747,19180
2761,8881
2779,16712
2782,8881
2791,14240
2796,15823
2805,12680
2806,13036
2819,23919
2842,26570
2843,19855
2846,22767
2853,23180
2858,10861
2861,12703
2866,25965
2873,26636
2893,23349
2912,12226
2917,13382
2923,19420
2925,14694
2932,33953
2934,23892
2940,12843
2942,25980
2951,18355
2954,10775
2972,13588
2979,28325
2980,11883
2986,26117
2989,22196
2995,23191
3011,15500
3016,11719
3017,19870
3040,18650
3061,22695
3068,18582
3069,12788
3072,18613
3083,11974
3085,30655
3091,18119
3095,15814
3099,12177
3101,24592
3104,14279
3108,14842
3110,18230
3122,16830
3124,12830
3127,21452
3129,13791
3164,16966
3178,22157
3185,31352
3193,15882
3197,19897
3213,16137
3229,14192
3235,12073
3239,15274
3251,12909
3256,18418
3263,27088
3275,21603
3279,13079
3291,12176
3300,10904
3304,14755
3307,14044
3310,31657
3320,13509
3324,19850
3330,20648
3332,9691
3338,13191
3343,16027
3344,10671
3347,11488
3353,11867
3368,12430
3375,15205
3388,15088
3393,11159
3394,10861
3401,12653
3450,10861
3465,9479
3466,8881
3470,32044
3479,15905
3486,20239
3500,19614
3522,22537
3529,36562
3559,19525
3580,16811
3587,15884
3597,14525
3602,29882
3625,15917
3628,14055
3633,12960
3657,30947
3667,32211
3673,12482
3703,11155
3710,14614
3716,17424
3717,14118
3724,34584
3730,16093
3741,15171
3743,12721
3745,13013
3749,13045
3797,19477
3798,24759
3801,32422
3811,15831
3816,10861
3819,19575
3821,16435
3844,18194
3852,12326
3861,14670
3869,11951
3877,23799
3879,25567
3899,11456
3905,13526
3911,18954
3919,13037
3932,11031
3944,14494
3967,26175
3970,18755
3973,19996
3976,26820
3977,26804
4024,14712
4036,11410
4050,25234
4054,12674
4059,44784
4062,11599
4068,14379
4070,19141
4078,9899
4081,29431
4109,16820
4119,11895
4136,8881
4140,10053
4142,30753
4150,15212
4156,15182
4160,15063
4193,11963
4198,14817
4199,10955
4219,31565
4220,16840
4223,12689
4228,19046
4236,12093
4239,20002
4249,11277
4255,10818
4259,12762
4273,16637
4281,12161
4294,15591
4317,31421
4321,20681
4333,16377
4338,13361
4354,15281
4355,20198
4366,14174
4398,14202
4402,23561
4406,13157
4416,8881
4425,8881
4431,18711
4435,14833
4436,15571
4450,14561
4460,13106
4471,26272
4505,19729
4542,11659
4548,18110
4555,13885
4562,12039
4573,17852
4580,10861
4601,13972
4613,16124
4638,23837
4639,10673
4647,19228
4649,18056
4670,12439
4671,14453
4677,18998
4701,13673
4703,19319
4704,8881
4705,19364
4715,15926
4737,14509
4739,13375
4740,13278
4741,25324
4746,19987
4747,8881
4755,11434
4764,11270
4772,13956
4787,34203
4804,11883
4809,16208
4811,15977
4829,17583
4837,11183
4864,13247
4874,12369
4884,14343
4886,19348
4890,20022
4891,22428
4895,18195
4921,8881
4932,27880
4955,14765
4963,15788
4969,10543
4978,12994
4980,11849
4982,10774
4990,11935
4991,13262
5010,20184
5028,22140
5039,12700
5040,19310
5045,8881
5048,17101
5053,12681
5060,31225
5086,18004
5092,13931
5098,15101
5100,15724
5110,25247
5112,10960
5118,16103
5120,12551
5148,17427
5153,10630
5155,20048
5180,21407
5217,15284
5224,10861
5230,20668
5251,26089
5253,19347
5265,12904
5269,23781
5281,19760
5290,16853
5295,16188
5299,10957
5313,17010
5324,12217
5334,18176
5338,25967
5352,28596
5357,11395
5360,11883
5374,9078
5380,11883
5381,21466
5382,31901
5392,25716
5396,13153
5397,20140
5399,20210
5406,19696
5410,13840
5411,19150
5415,28113
5416,21314
5422,11886
5433,10861
5439,8881
5453,10861
5454,14848
5461,12646
5464,13260
5465,10861
5466,14086
5481,19249
5482,12530
5499,15381
5513,11997
5517,13256
5528,13173
5547,10861
5549,11397
5550,18314
5553,11855
5559,16106
5567,12471
5569,22923
5574,22518
5586,11749
5593,13025
5601,24023
5604,15020
5609,19806
5613,14209
5616,30164
5625,13093
5627,12703
5630,11441
5633,20000
5634,22760
5640,15699
5641,19948
5650,17248
5652,19317
5668,31695
5687,24795
5695,12368
5697,13736
5710,12555
5713,21137
5715,10861
5718,22016
5720,20266
5728,14964
5729,11429
5737,20280
5747,14190
5756,31684
5766,20186
5767,27159
5768,14195
5772,10893
5778,13754
5793,16790
5797,34214
5817,13408
5822,18436
5833,18172
5843,13236
5848,16891
5851,21207
5879,46541
5885,12016
5886,14750
5891,26048
5894,15431
5895,27171
5897,19932
5939,14349
5942,11105
5943,14337
5952,13842
5979,19092
5989,16136
6000,20754
6012,10819
6014,16603
6017,13624
6020,10861
6035,16976
6037,19006
6047,22161
6057,12700
6061,15524
6107,11883
6109,16572
6127,23649
6134,30784
6138,19738
6155,12130
6168,13716
6170,10703
6174,12344
6181,17333
6187,12275
6188,13724
6192,10861
6208,14323
6240,20977
6246,27506
6257,14136
6258,21895
6266,14934
6269,22790
6271,14409
6273,14884
6281,10891
6282,12327
6287,19188
6291,18447
6295,11622
6296,10861
6301,30953
6308,20389
6310,19644
6314,14890
6318,10861
6319,30804
6321,23027
6329,30647
6332,23551
6337,11883
6349,15794
6356,16187
6374,28613
6407,30495
6411,16153
6424,11490
6427,14217
6431,17698
6458,17019
6459,14798
6464,17425
6468,22611
6470,15773
6483,25129
6488,11915
6495,25763
6498,14450
6507,15939
6513,12132
6520,10521
6521,21177
6524,25708
6527,21594
6530,21100
6541,11215
6545,12263
6552,12879
6553,12818
6558,18170
6565,39903
6570,19397
6572,12083
6576,13203
6586,11560
6596,19554
6603,11821
6605,11318
6609,11107
6611,14168
6612,16921
6620,11014
6626,30468
6631,14237
6634,13413
6638,16124
6641,32216
6648,25178
6658,11095
6664,23041
6697,14210
6700,21682
6706,14371
6712,23916
6713,19668
6717,23352
6732,15920
6738,12478
6739,10220
6742,22682
6743,23035
6747,18555
6762,13001
6775,18163
6783,12604
6789,23225
6791,11820
6793,20811
6800,19638
6812,14178
6828,14145
6833,26161
6834,19951
6842,18464
6845,10715
6851,26694
6858,11422
6861,18834
6864,15185
6871,20749
6874,20207
6880,12137
6883,18592
6892,28729
6893,18577
6894,21888
6895,12738
6897,34651
6903,17651
6952,14118
6953,15258
6960,10861
6988,16635
6989,31967
6991,18282
7007,21303
7011,31978
7018,18408
7023,25830
7024,25848
7043,20188
7047,16688
7056,27320
7066,23325
7067,14901
7075,31758
7079,32359
7083,10861
7096,26630
7107,35877
7118,17040
7127,60138
7129,29137
7143,39798
7158,19364
7181,9672
7182,19590
7194,9924
7202,11380
7203,19252
7206,20212
7207,29626
7212,21300
7213,13266
7227,12274
7251,21770
7253,11689
7261,14728
7268,13720
7269,10621
7272,20610
7284,20636
7287,20235
7295,14944
7303,25418
7315,10861
7317,17714
7336,25443
7346,30348
7351,11912
7356,25565
7358,19358
7375,10791
7400,11181
7407,16981
7408,11883
7429,23749
7431,28630
7432,25225
7435,24571
7448,16465
7452,18656
7459,16713
7465,16025
7467,11329
7474,30483
7506,20211
7511,12078
7515,19132
7526,31218
7546,10327
7552,22596
7558,11840
7563,10810
7575,22892
7576,14631
7591,16027
7614,23770
7624,16107
7629,19299
7633,11290
7639,11883
7663,15276
7682,10861
7683,9641
7684,27648
7688,23166
7701,32102
7708,12642
7738,20128
7747,12926
7756,12338
7762,15601
7782,16930
7789,12100
7810,13512
7814,14302
7823,80920
7828,10861
7831,27161
7850,18742
7860,13584
7862,25674
7886,26077
7891,15605
7930,14018
7935,16191
7939,23322
7942,8881
7943,23702
7945,23428
7947,18949
7970,12081
7973,15010
7986,19522
7996,25592
8009,16707
8011,28070
8016,22381
8017,38203
8024,31551
8040,21945
8045,12666
8051,20776
8062,25652
8070,16069
8073,27927
8089,14546
8094,10961
8098,30899
8100,43395
8109,19962
8110,14014
8122,13373
8126,30919
8129,18506
8137,30817
8149,15397
8160,11775
8164,11203
8174,23509
8180,10872
8199,10861
8207,20890
8229,16713
8263,20285
8268,20164
8292,14083
8298,23670
8306,14921
8313,24032
8327,34480
8335,13634
8348,14069
8355,25541
8373,15149
8379,11785
8380,20296
8397,14876
8399,12250
8411,15584
8417,15888
8439,12504
8440,22758
8455,8881
8463,24380
8487,16169
8489,11005
8491,13204
8494,47816
8502,16017
8506,27201
8511,26255
8512,24423
8530,20300
8531,13491
8535,30975
8550,17446
8567,29649
8569,20537
8570,18277
8573,8881
8580,12238
8581,18270
8598,12110
8610,18225
8611,21149
8613,18021
8635,19831
8640,10861
8647,30331
8649,23806
8681,25765
8687,21252
8704,24491
8713,19160
8719,13120
8722,14360
8727,12934
8730,14275
8742,11812
8747,32619
8759,19382
8762,19657
8778,13447
8785,17810
8794,16579
8825,16482
8827,10861
8838,13045
8843,12234
8856,20167
8865,13058
8867,11918
8876,18221
8890,16175
8891,15368
8900,10815
8906,42106
8924,20817
8929,23710
8939,28518
8941,13268
8948,22052
8951,15820
8990,14419
9003,19476
9004,9143
9016,21536
9035,16779
9064,26078
9072,18748
9100,24749
9105,8881
9108,19020
9123,13316
9127,15089
9128,22358
9133,15147
9139,18218
9141,9760
9145,12788
9147,9949
9149,18515
9166,25508
9167,13592
9171,20077
9174,18355
9188,18846
9202,26084
9213,24396
9214,12323
9218,16914
9222,11590
9239,20683
9245,11593
9246,31152
9278,22645
9292,19151
9300,24247
9318,16435
9377,15859
9387,13392
9389,29098
9405,31539
9426,13276
9429,29168
9440,14009
9447,22822
9461,12490
9465,10861
9479,24825
9493,16579
9501,9656
9534,11130
9553,10861
9574,21292
9575,14778
9591,14574
9610,15319
9620,31712
9625,25556
9631,15844
9636,12549
9643,20774
9656,18232
9659,14512
9672,19397
9674,17618
9678,17926
9696,12581
9697,21597
9700,13325
9701,19151
9730,14853
9733,15173
9737,23232
9749,9957
9758,8881
9759,10499
9762,10861
9763,11421
9770,30442
9790,33262
9795,24350
9798,10837
9805,19166
9808,16101
9834,31128
9840,11883
9856,16371
9894,13330
9908,23964
9918,22354
9923,20543
9939,27201
9942,20085
9951,12648
9961,11160
9962,18661
9973,20658
9980,21846
9988,23394
10001,8881
10015,11535
10016,14254
10021,18561
10025,16930
10028,10861
10036,36408
10038,20906
10044,15616
10060,15778
10067,11883
10072,13565
10073,15362
10093,26894
10097,12285
10100,8881
10103,18745
10111,27843
10112,15335
10115,23938
10119,18047
10120,15735
10123,22816
10126,12544
10130,12560
10142,23080
10143,29669
10154,13489
10169,12936
10172,10801
10177,14894
10190,16124
10196,16304
10198,12042
10200,17251
10201,14176
10212,25018
10223,20314
10256,28552
10261,14455
10264,11883
10279,18883
10283,19086
10285,26023
10288,11334
10292,17237
10302,20158
10308,12118
10313,13462
10318,15533
10319,23804
10321,12310
10323,23398
10333,20897
10334,16579
10336,23320
10341,25221
10342,25786
10347,19627
10351,11585
10352,19961
10355,23980
10380,16413
10382,23313
10400,9888
10410,11543
10414,13786
10418,8881
10421,18730
10424,24761
10427,31186
10438,17684
10453,29355
10455,8881
10459,13447
10462,11007
10475,15686
10478,12920
10481,11883
10485,10861
10509,13108
10510,18291
10528,8881
10530,12396
10535,18833
10542,15330
10544,19404
10552,65351
10559,28725
10580,13731
10581,18755
10585,29013
10586,15391
10588,8881
10590,8881
10593,12496
10596,12438
10612,12440
10617,22615
10621,12105
10635,16107
10639,18676
10640,8964
10657,18996
10660,11559
10664,10761
10671,10427
10676,13360
10684,49589
10708,8881
10711,20240
10713,10861
10720,13659
10726,15102
10730,30769
10734,23380
10744,10861
10763,8881
10779,8881
10787,13834
10791,10861
10808,11883
10809,18557
10814,26159
10815,11047
10821,24882
10825,15827
10848,11980
10854,10861
10858,18330
10859,22925
10863,15231
10873,23398
10874,11669
10885,12090
10888,13511
10890,15792
10891,10019
10917,18420
10918,10401
10919,23463
10927,34495
10928,23802
10956,22390
10973,13056
10977,10631
10981,13350
10982,12878
10991,12246
10992,23240
11001,26853
11017,13984
11031,32390
11033,19276
11034,11042
11052,11264
11057,21018
11072,24393
11073,25401
11102,11662
11116,26049
11120,15924
11122,29071
11132,13181
11133,10861
11137,15477
11143,26617
11150,17328
11168,26795
11178,24928
11181,12201
11189,19308
11196,10572
11227,16799
11239,13036
11244,11169
11256,40489
11257,12748
11260,23544
11262,15752
11277,20625
11286,8881
11302,13329
11305,18743
11332,11837
11336,14116
11347,15616
11355,20862
11360,23344
11363,24122
11365,16684
11374,27172
11377,16878
11389,23783
11392,12419
11397,19923
11443,10861
11447,18640
11458,10861
11464,14194
11467,24375
11480,11917
11499,17427
11511,10451
11513,11883
11519,10926
11524,19850
11540,15495
11562,25100
11573,15474
11589,19817
11592,24731
11596,19589
11600,12373
11603,8881
11610,12220
11612,13859
11619,19413
11627,12125
11629,24268
11631,14834
11635,16172
11642,9854
11647,16795
11653,17636
11685,11883
11691,8881
11695,13652
11708,9993
11710,11883
11729,10834
11763,9624
11765,27503
11768,20752
11770,18964
11773,18870
11774,16287
11785,19971
11786,31020
11791,8881
11798,19185
11806,20039
11819,14318
11823,16403
11839,19176
11849,9268
11852,11698
11865,21037
11866,12371
11875,20413
11878,23859
11881,14963
11883,12728
11897,33040
11904,20913
11941,9798
11945,10501
11950,12889
11954,15529
11960,20442
11968,26049
11971,22742
11978,11821
11986,8881
11992,15753
12001,10656
12017,19215
12019,10861
12023,39814
12042,13925
12050,9332
12061,14279
12068,24858
12081,18695
12083,8881
12090,12926
12113,31157
12118,17716
12121,30481
12124,12174
12131,13152
12152,24455
12162,26533
12168,16238
12169,33352
12178,30527
12183,25902
12185,13993
12196,13891
12199,22130
12200,8881
12208,17875
12219,12783
12220,19102
12223,12378
12224,16951
12225,14475
12242,10861
12259,11883
12266,15355
12275,18898
12276,18632
12280,12613
12281,12245
12284,21657
12302,23889
12305,16602
12316,18050
12325,24085
12327,48056
12341,14404
12343,20198
12345,23529
12353,11434
12373,14050
12380,13691
12388,20886
12402,18175
12406,24024
12409,10119
12420,15702
12421,27141
12425,13511
12429,27862
12439,11529
12442,15519
12445,24976
12457,16702
12461,23959
12470,13206
12479,16897
12482,25543
12483,26159
12485,12624
12513,23364
12520,9752
12522,22419
12525,16507
12529,15725
12545,13542
12551,14136
12559,11678
12561,31126
12564,26040
12566,20632
12570,25110
12581,15789
12594,16842
12610,25639
12611,12478
12612,12073
12629,11717
12636,15827
12637,15001
12640,10861
12643,22196
12648,11515
12683,19462
12687,19162
12690,32679
12694,19847
12699,22177
12722,26476
12756,13264
12786,15213
12799,21553
12801,11871
12803,12599
12804,32551
12822,19791
12823,11520
12836,8881
12838,12871
12844,9874
12855,24825
12866,16283
12870,11902
12882,12244
12890,13074
12891,24858
12894,13291
12896,13689
12904,16349
12911,18084
12927,13404
12931,18966
12937,10652
12948,8881
12953,36740
12956,11349
12958,25709
12971,13287
12975,20400
12976,16922
12981,26150
12988,10751
12989,24530
12992,28948
12995,26003
12999,18510
13000,16650
13001,18805
13002,30881
13006,20260
13013,24688
13018,13399
13036,28218
13050,19426
13066,30994
13068,18511
13069,13988
13080,16458
13125,16651
13126,18462
13127,18926
13154,14049
13156,9805
13166,10561
13171,19507
13180,11785
13189,19268
13196,14694
13200,14138
13201,19710
13202,20706
13235,17468
13241,18897
13244,30570
13252,9723
13253,13396
13256,59103
13302,19235
13303,13542
13306,21188
13307,14569
13310,31433
13312,15459
13314,24994
13315,21173
13316,15848
13333,23982
13338,27713
13344,15589
13346,25429
13361,12622
13372,10861
13375,11416
13382,25432
13383,31973
13389,28534
13390,21871
13396,17238
13402,17568
13412,19034
13421,10861
13452,16277
13472,16760
13487,31388
13498,14519
13518,37438
13531,12902
13532,14410
13538,32407
13554,16342
13558,12053
13563,10824
13565,18459
13573,21537
13575,12032
13605,25500
13615,20021
13619,25330
13630,25517
13631,32239
13638,27228
13643,23693
13668,19283
13673,32033
13676,24000
13687,26451
13736,23449
13742,13429
13748,17836
13752,14892
13759,19116
13773,29085
13789,11710
13790,11883
13798,13813
13808,11883
13818,16458
13835,26091
13842,26106
13844,12924
13853,20059
13868,26630
13869,21585
13876,14876
13882,25740
13886,17400
13898,12872
13910,9784
13920,10861
13932,11926
13942,14092
13951,21342
13955,15001
13956,20389
13975,23179
13978,18739
13989,14531
13990,23580
14004,25896
14015,25238
14028,19419
14029,11226
14031,26214
14035,23867
14060,30195
14065,19709
14067,13055
14076,10861
14080,17821
14083,13747
14084,14446
14100,11883
14115,14976
14116,18252
14126,11789
14128,13085
14132,22554
14148,10861
14150,16612
14152,28681
14154,13130
14172,10861
14179,19654
14183,10861
14193,12050
14194,15969
14200,16468
14206,14669
14207,17571
14219,12054
14223,10861
14243,17360
14247,18256
14262,10776
14265,11905
14270,15672
14285,11879
14287,13410
14288,18584
14289,12989
14294,11517
14298,11625
14302,14331
14313,31213
14324,20118
14327,10556
14335,14482
14342,11841
14344,11659
14362,12394
14368,15873
14373,11289
14374,10861
14376,17442
14394,11266
14401,14474
14402,18254
14412,13956
14418,11285
14425,11005
14426,17197
14430,13962
14450,28744
14460,25173
14464,13056
14483,11633
14508,14007
14510,18975
14525,46791
14532,13412
14543,10191
14549,20957
14552,16294
14559,11860
14568,10488
14569,48454
14573,11960
14580,12757
14588,25822
14605,13411
14606,13652
14607,19618
14612,20075
14614,11248
14618,10539
14626,12800
14631,14420
14640,19930
14645,10091
14646,15585
14654,11909
14660,13105
14681,28594
14692,28692
14697,26939
14700,14975
14715,13423
14716,23593
14719,22291
14731,28470
14744,11172
14748,13588
14752,21554
14761,10944
14781,22208
14790,15100
14806,31858
14817,23666
14823,17951
14844,12816
14856,9550
14859,11468
14861,12554
14863,12529
14873,12300
14875,13209
14881,16117
14889,20189
14897,12414
14898,21269
14918,30604
14924,21869
14929,11161
14932,32011
14938,10861
14939,19808
14942,24610
14964,19583
14968,15305
14977,76605
14986,11342
14990,13729
14995,11865
15018,10245
15025,11552
15046,18579
15049,17087
15052,18307
15065,15784
15080,24445
15081,12182
15083,20132
15088,14085
15103,11059
15112,27936
15114,14907
15116,16069
15118,13266
15121,32850
15122,31325
15137,12855
15140,23965
15162,19906
15174,11883
15192,16580
15198,18385
15223,43947
15225,14036
15226,11500
15257,26113
15265,17803
15268,19566
15280,16543
15307,16881
15310,13222
15314,13926
15317,12571
15327,25781
15333,28956
15338,13651
15351,11139
15352,13117
15353,15192
15362,20669
15365,30073
15369,14022
15371,14993
15374,10294
15377,17656
15380,25097
15385,10861
15387,35040
15391,8881
15393,27372
15399,12274
15406,17976
15425,35369
15444,13979
15445,19641
15449,18665
15454,13844
15457,19966
15459,10983
15481,15301
15483,17171
15486,19052
15487,11565
15491,20640
15493,10861
15500,67694
15504,14205
15506,21357
15510,34502
15520,16505
15521,13009
15523,9197
15529,27540
15534,18426
15535,15988
15543,12413
15545,14864
15558,22081
15567,31558
15575,24955
15582,19934
15589,10302
15600,20142
15601,23563
15605,12120
15607,14911
15611,67688
15638,16038
15648,15573
15649,25945
15650,16118
15656,29595
15666,11994
15681,31075
15684,14031
15685,20128
15688,15434
15695,31702
15696,19905
15699,9996
15714,17877
15715,11554
15716,20607
15718,14605
15728,13084
15729,30888
15734,21300
15735,30975
15741,59510
15742,19513
15746,18697
15747,18777
15748,20644
15754,24519
15769,9591
15770,22940
15787,29792
15796,28609
15797,23073
15808,17777
15818,13838
15831,10861
15836,11883
15844,18724
15847,17350
15854,26349
15873,26413
15885,14152
15887,17924
15903,17382
15916,25027
15930,23749
15948,13251
15962,18363
15981,24206
16013,17790
16016,10592
16019,15065
16025,16965
16029,13228
16036,19679
16042,12122
16053,34377
16064,14158
16071,10472
16078,28753
16095,24668
16099,12387
16103,13323
16110,19109
16116,19999
16131,15574
16132,14189
16133,13085
16135,11514
16144,17618
16161,30232
16162,21767
16167,17754
16172,16412
16182,13594
16186,18160
16192,11895
16197,10861
16201,10516
16203,19699
16234,19876
16248,13902
16255,25256
16261,12407
16262,11581
16270,10861
16274,12147
16285,16142
16288,13099
16290,24285
16301,11913
16307,13370
16339,10861
16355,13879
16368,19019
16376,15096
16380,16498
16384,23633
16390,12371
16395,17974
16396,10634
16416,25691
16425,14124
16444,15619
16459,16190
16471,12726
16472,11461
16473,14961
16478,13334
16482,10861
16497,22260
16512,18928
16529,20174
16535,25774
16542,25576
16557,18048
16561,34619
16568,13308
16577,12334
16578,20050
16593,18992
16596,12089
16604,24120
16609,18245
16617,28623
16626,16093
16634,11857
16637,35058
16641,10861
16649,13009
16658,19966
16674,12787
16675,18269
16682,13391
16687,20032
16691,31356
16695,12215
16697,24785
16704,24811
16727,25043
16729,16973
16730,26123
16736,20514
16753,12465
16765,17383
16769,19148
16779,12258
16781,20267
16785,22340
16786,14724
16787,23468
16791,13904
16793,31680
16805,14571
16809,18531
16810,37189
16820,15082
16833,9681
16863,13331
16866,24769
16871,17395
16877,17199
16878,12202
16879,12253
16882,12831
16887,16644
16900,13032
16906,8917
16909,15300
16913,25818
16914,8881
16936,12684
16937,14199
16947,9472
16957,14006
16968,18487
16970,8881
16971,10744
16989,25555
17001,10921
17007,24627
17018,15848
17027,14005
17028,26335
17036,18612
17043,14617
17051,12300
17062,19080
17066,20606
17070,12059
17081,25162
17087,25374
17091,54310
17094,16678
17101,14462
17102,20326
17106,18991
17112,12631
17113,17226
17120,20669
17124,16643
17147,23541
17151,19823
17152,21580
17159,14527
17169,33031
17179,33734
17180,16574
17181,12892
17187,14877
17193,14251
17201,12440
17213,25522
17223,13082
17243,13766
17264,10861
17280,10861
17282,19427
17284,23662
17293,14155
17298,20244
17301,15185
17309,21333
17327,19570
17350,26672
17355,10992
17361,14170
17364,8881
17380,13851
17388,14981
17400,18974
17419,24251
17426,22983
17437,16607
17471,11815
17479,10744
17480,18957
17483,15612
17495,25521
17496,12919
17505,14046
17527,21864
17530,23224
17532,25893
17537,19347
17540,19328
17546,11474
17551,24106
17554,17284
17564,14807
17569,11908
17578,16754
17582,16571
17594,14833
17608,14484
17610,26207
17611,19295
17618,15124
17621,35743
17623,14475
17631,15656
17632,14885
17636,17895
17641,15391
17647,14906
17674,37415
17677,18441
17686,12454
17690,29255
17701,27354
17722,30705
17735,27091
17740,10861
17745,10861
17751,11883
17757,29503
17767,25973
17780,26019
17785,31002
17789,30473
17797,9913
17821,12934
17834,20427
17835,13830
17841,18999
17844,22109
17845,12220
17852,20815
17864,19607
17877,10576
17878,19798
17888,9519
17890,16937
17898,14193
17899,13151
17917,10861
17949,25250
17952,10861
17964,25396
17965,18509
17973,15488
17988,21570
17997,18632
18010,14451
18018,19354
18028,14174
18030,25056
18032,44353
18034,23359
18038,8881
18050,12407
18061,19821
18062,19789
18067,14339
18079,14100
18080,30877
18101,11661
18105,26298
18123,34822
18132,10861
18135,11883
18137,10861
18141,16157
18143,14839
18165,18056
18172,16937
18181,14491
18187,24684
18209,16364
18211,12956
18215,13004
18251,22986
18258,39402
18263,14574
18289,20262
18298,13149
18301,14310
18340,13625
18345,12956
18359,12486
18360,18096
18364,19176
18373,18644
18390,16284
18395,9899
18403,18708
18414,11067
18425,25280
18433,20285
18452,15482
18468,17068
18479,25194
18489,11173
18498,24346
18499,19516
18501,10439
18519,28864
18522,18960
18525,18247
18546,12538
18551,11541
18552,14317
18566,15652
18591,10861
18592,16332
18599,10861
18607,17537
18610,10861
18624,22568
18630,9302
18641,28637
18643,32367
18649,12873
18651,102919
18658,17202
18662,9884
18663,20628
18671,21230
18675,20839
18676,8881
18677,11613
18685,14570
18692,25623
18707,13940
18711,68883
18716,17661
18717,14560
18722,13690
18726,10861
18729,13587
18737,30169
18740,13455
18745,20057
18749,18717
18750,22775
18767,19137
18770,18707
18777,19116
18779,27683
18783,19511
18796,24034
18812,15424
18820,25965
18830,13398
18832,12086
18835,26724
18856,25388
18858,19258
18861,10992
18862,24495
18863,21177
18865,23664
18868,19466
18872,10861
18875,10008
18876,26619
18882,17790
18897,13039
18900,17553
18911,14217
18916,14924
18921,15201
18949,13567
18952,13377
18955,20246
18958,10879
18965,19929
18979,13747
19002,22098
19008,16541
19009,14920
19013,20199
19014,16547
19030,18373
19067,17476
19095,20270
19097,13498
19105,20629
19111,11508
19113,12961
19138,23373
19148,13779
19149,11113
19154,11795
19156,25959
19172,30214
19200,19373
19205,12380
19207,11547
19218,11568
19240,18492
19247,11883
19250,20263
19257,10776
19263,21154
19272,12742
19275,10861
19276,14831
19279,19974
19284,13670
19287,28144
19311,10323
19316,15173
19318,20761
19327,38103
19340,17314
19348,11790
19350,11883
19363,18430
19367,25571
19368,12065
